indicator_id,ref_month,publish_date,value,unit,adjustment,source,data_type
PMI_MANU,2024-11,2024-12-01,50.3,,Level,NBS,Growth
PMI_SERV,2024-11,2024-12-01,50.6,,Level,NBS,Growth
INDUSTRY_YOY,2024-10,2024-11-15,5.3,%,YoY,NBS,Growth
TSF_STOCK_YOY,2024-10,2024-11-13,8.0,%,YoY,PBOC,Credit
CPI_YOY,2024-10,2024-11-09,0.0,%,YoY,NBS,Inflation
PPI_YOY,2024-10,2024-11-09,-2.9,%,YoY,NBS,Inflation
YIELD_10Y,2024-11,2024-11-29,2.15,%,Level,CHINA_BOND,Rate
YIELD_1Y,2024-11,2024-11-29,1.78,%,Level,CHINA_BOND,Rate
MLF_RATE,2024-11,2024-11-15,2.50,%,Level,PBOC,Rate
LPR_1Y,2024-11,2024-11-20,3.10,%,Level,PBOC,Rate
LPR_5Y,2024-11,2024-11-20,3.60,%,Level,PBOC,Rate
