product_name,product_code,currency,asset_class,sub_category,risk_level,return_1y,return_3y,return_5y,volatility_1y,volatility_3y,volatility_5y,max_drawdown_1y,max_drawdown_2y,max_drawdown_3y,sharpe_ratio_1y,sharpe_ratio_3y,sharpe_ratio_5y,pct_return_3y,pct_sharpe_3y,pct_volatility_3y,bucket_id,bucket_pct_return,bucket_pct_sharpe,bucket_pct_volatility,is_top_alpha
招商白酒,530001,CNY,股票类,行业主题型,R4,30.88,20.06,20.0,17.55,24.05,21.0,-10.0,-36.06,,0.49,0.55,0.35,0.8666666666666667,0.4666666666666667,0.7333333333333333,3,0.8846153846153846,0.15384615384615385,0.9615384615384616,True
国泰量化增强B,520007,CNY,股票类,股票增强型,R5,25.6,18.4,12.42,21.53,25.47,18.87,-19.08,-31.52,-35.74,0.97,0.79,0.74,0.75,0.75,0.875,3,0.8461538461538461,0.4423076923076923,1.0,True
富国量化多因子B,540004,CNY,股票类,量化多因子,R3,20.14,23.46,13.73,20.01,23.9,15.0,-21.03,-24.22,,0.33,0.85,0.67,0.8571428571428571,0.8571428571428571,0.8571428571428571,3,1.0,0.5384615384615384,0.9230769230769231,False
景顺长城量化精选C,520010,CNY,股票类,股票增强型,R5,17.59,17.46,10.39,17.3,21.85,21.17,-25.67,-33.53,-32.14,0.34,0.4,0.53,0.625,0.125,0.25,3,0.8076923076923077,0.07692307692307693,0.7692307692307693,False
银华量化优选,520003,CNY,股票类,股票增强型,R4,16.37,21.52,9.85,23.0,23.71,17.95,-22.87,-45.0,-42.2,0.64,0.43,0.85,1.0,0.25,0.75,3,0.9615384615384616,0.11538461538461539,0.8846153846153846,False
兴全量化精选B,520009,CNY,股票类,股票增强型,R5,10.89,21.0,15.47,23.81,23.2,20.47,-28.11,-29.43,-39.42,0.94,0.62,0.51,0.875,0.5,0.625,3,0.9230769230769231,0.23076923076923078,0.8461538461538461,False
易方达短债C,010010,CNY,现金类,短债型,R2,4.5,2.91,,0.64,0.82,1.27,-1.32,-2.1,-2.48,1.89,2.14,2.39,0.5,0.6666666666666666,0.5833333333333334,3,0.25,0.8076923076923077,0.17307692307692307,False
南方现金增利D,000017,CNY,现金类,货币基金,R1,3.93,2.91,3.04,1.85,1.01,1.5,-0.72,-2.82,-1.25,2.39,2.55,2.1,0.6,0.9333333333333333,0.4666666666666667,3,0.25,1.0,0.2692307692307692,False
南方短债B,010007,CNY,现金类,短债型,R1,3.55,2.75,2.93,1.26,0.2,0.55,-0.6,-2.44,-1.71,1.74,2.26,1.89,0.3333333333333333,0.75,0.08333333333333333,3,0.19230769230769232,0.8653846153846154,0.07692307692307693,False
工银纯债C,020011,CNY,现金类,纯债型,R2,3.15,2.49,2.31,0.69,0.88,0.59,-1.35,-2.55,-2.08,1.69,2.37,1.92,0.23076923076923078,0.5384615384615384,0.5384615384615384,3,0.15384615384615385,0.9615384615384616,0.23076923076923078,False
招商安瑞进取B,020005,CNY,现金类,纯债型,R1,2.9,2.36,3.4,0.94,0.0,1.07,-1.27,-1.57,-1.67,2.32,2.35,1.77,0.15384615384615385,0.46153846153846156,0.07692307692307693,3,0.07692307692307693,0.9230769230769231,0.038461538461538464,False
招财宝B,000007,CNY,现金类,现金类-其他,R1,2.79,3.51,3.78,0.39,1.12,0.58,-1.05,0.0,-3.5,2.35,2.26,2.23,1.0,0.6,0.6,3,0.3076923076923077,0.8653846153846154,0.3076923076923077,False
理财通B,000006,CNY,现金类,现金类-其他,R1,2.59,2.47,2.62,0.92,0.69,0.01,-0.63,-2.3,-1.76,3.0,1.78,1.3,0.4,0.2,0.2,3,0.11538461538461539,0.7307692307692307,0.11538461538461539,False
天弘余额宝B,000005,CNY,现金类,货币基金,R1,2.02,2.31,2.76,0.7,0.82,0.77,,-1.1,-2.07,2.43,2.12,1.31,0.13333333333333333,0.4666666666666667,0.26666666666666666,3,0.038461538461538464,0.7692307692307693,0.17307692307692307,False
汇添富中证800B,510015,CNY,股票类,股票型,R4,34.23,14.33,,17.61,17.89,18.26,-22.98,-27.44,-31.79,0.91,0.65,0.82,,,,3,,,,True
华宝科技龙头B,530010,CNY,股票类,行业主题型,R5,32.34,14.32,14.66,22.4,28.0,,-15.5,-30.96,,0.46,0.37,,,,,3,,,,True
中欧医疗健康C,530012,CNY,股票类,行业主题型,R4,31.42,18.06,,16.33,20.33,,-27.97,-40.37,,0.93,0.98,0.43,,,,3,,,,True
银华量化优选B,520008,CNY,股票类,股票增强型,R5,29.79,15.6,15.06,19.6,22.13,,-23.31,-29.27,-29.24,0.5,1.0,0.49,,,,3,,,,True
中欧医疗健康B,530006,CNY,股票类,行业主题型,R5,27.94,7.15,8.06,12.0,20.06,22.47,-13.11,-29.44,-20.97,0.35,0.35,0.62,,,,3,,,,True
富国沪深300,510006,CNY,股票类,股票型,R4,27.53,17.22,10.08,22.63,26.38,20.4,-12.72,-45.0,-27.42,0.72,0.6,0.64,,,,3,,,,True
天弘新能源B,530008,CNY,股票类,行业主题型,R5,27.16,10.82,14.39,18.61,18.22,20.21,-28.97,-34.15,-43.58,1.19,0.66,,,,,3,,,,True
国泰量化增强,520002,CNY,股票类,股票增强型,R4,26.49,9.8,11.25,18.86,18.71,25.35,-19.97,-39.46,-26.66,1.2,0.83,0.42,,,,3,,,,True
