product_name,product_code,currency,asset_class,sub_category,risk_level,return_1y,return_3y,return_5y,volatility_1y,volatility_3y,volatility_5y,max_drawdown_1y,max_drawdown_2y,max_drawdown_3y,sharpe_ratio_1y,sharpe_ratio_3y,sharpe_ratio_5y
汇添富中证800B,510015,CNY,股票类,股票型,R4,34.23,14.33,,17.61,17.89,18.26,-22.98,-27.44,-31.79,0.91,0.65,0.82
华宝科技龙头B,530010,CNY,股票类,行业主题型,R5,32.34,14.32,14.66,22.4,28.0,,-15.5,-30.96,,0.46,0.37,
中欧医疗健康C,530012,CNY,股票类,行业主题型,R4,31.42,18.06,,16.33,20.33,,-27.97,-40.37,,0.93,0.98,0.43
招商白酒,530001,CNY,股票类,行业主题型,R4,30.88,20.06,20.0,17.55,24.05,21.0,-10.0,-36.06,,0.49,0.55,0.35
银华量化优选B,520008,CNY,股票类,股票增强型,R5,29.79,15.6,15.06,19.6,22.13,,-23.31,-29.27,-29.24,0.5,1.0,0.49
中欧医疗健康B,530006,CNY,股票类,行业主题型,R5,27.94,7.15,8.06,12.0,20.06,22.47,-13.11,-29.44,-20.97,0.35,0.35,0.62
富国沪深300,510006,CNY,股票类,股票型,R4,27.53,17.22,10.08,22.63,26.38,20.4,-12.72,-45.0,-27.42,0.72,0.6,0.64
天弘新能源B,530008,CNY,股票类,行业主题型,R5,27.16,10.82,14.39,18.61,18.22,20.21,-28.97,-34.15,-43.58,1.19,0.66,
国泰量化增强,520002,CNY,股票类,股票增强型,R4,26.49,9.8,11.25,18.86,18.71,25.35,-19.97,-39.46,-26.66,1.2,0.83,0.42
国泰量化增强B,520007,CNY,股票类,股票增强型,R5,25.6,18.4,12.42,21.53,25.47,18.87,-19.08,-31.52,-35.74,0.97,0.79,0.74
