product_name,product_code,pop_id,currency,asset_class,sub_category,return_1y,return_3y,return_5y,volatility_1y,volatility_3y,volatility_5y,max_drawdown_1y,max_drawdown_2y,max_drawdown_3y,sharpe_ratio_1y,sharpe_ratio_3y,sharpe_ratio_5y,risk_level
中欧医疗健康C,530012,FUND_530012,CNY,权益类,股票型,0.3142,0.1806,,0.1633,0.2033,,-0.2797,-0.4037,,0.93,0.98,0.43,R4
长信量化先锋B,540006,FUND_540006,CNY,权益类,股票型,0.2359,0.1708,0.1639,0.187,0.2006,0.1781,-0.2528,-0.2717,-0.2794,0.47,0.8,0.81,R3
易方达消费精选,530005,FUND_530005,CNY,权益类,股票型,0.2087,0.211,,0.213,0.28,0.2533,-0.2406,-0.2271,-0.2884,1.04,0.48,0.72,R4
高毅多策略,900000,FUND_900000,CNY,另类资产,量化对冲,0.131,0.1196,0.0733,0.1188,0.1292,0.0962,-0.05,-0.2784,-0.2135,1.3,0.75,0.7,R3
九坤CTA优选B,880004,FUND_880004,CNY,另类资产,商品及宏观策略,0.104,0.1327,0.0958,0.1638,0.159,,-0.1456,-0.1791,-0.2636,0.72,0.86,0.89,R4
易方达易理财C,000011,FUND_000011,CNY,现金类,现金类,0.045,0.0257,0.0323,0.0115,0.0149,0.0134,-0.0001,-0.0207,-0.0154,2.0,2.8,,R1
工银纯债,020001,FUND_020001,CNY,固收类,纯债,0.0397,0.0289,0.0245,0.0001,0.0128,0.0001,-0.0112,-0.0178,-0.0239,1.9,2.67,,R2
招商安瑞进取C,020010,FUND_020010,CNY,固收类,纯债,0.0356,0.0294,0.0218,0.0001,0.0001,0.015,-0.0109,-0.0141,-0.0145,2.27,2.69,1.71,R2
南方短债C,010011,FUND_010011,CNY,固收类,纯债,0.0324,0.0276,0.0277,0,0.013,0.0001,-0.0109,0,-0.017,1.97,1.95,,R2
国泰黄金ETF,510001,FUND_510001,CNY,另类资产,商品及宏观策略,0.0302,0.1279,0.0546,0.1071,0.1086,0.1459,-0.25,-0.08,-0.159,0.86,0.74,0.76,R5
余额宝B,000004,FUND_000004,CNY,现金类,现金类,0.0267,0.0284,0.0286,0.0001,0.0001,0.0135,-0.0001,-0.0172,-0.013,2.12,2.51,2.01,R1
嘉实超短债B,010004,FUND_010004,CNY,固收类,纯债,0.0216,0.0298,0.021,0.0116,0.0001,0.0001,-0.018,-0.0111,-0.0253,1.81,1.4,1.89,R2
兴全可转债,120000,FUND_120000,CNY,固收类,固收+,0.0959,0.12,,0.0662,0.106,0.0775,-0.1095,-0.1431,-0.1702,1.11,1.04,0.78,R4
明汯中性优选B,890005,FUND_890005,CNY,另类资产,量化对冲,0.0957,0.1284,0.0875,0.0911,0.1318,0.1262,-0.093,-0.1031,-0.2884,0.6,0.53,0.69,R3
博时信用债D,110014,FUND_110014,CNY,固收类,固收+,0.1072,0.108,0.0839,0.0812,0.0703,0.0837,-0.0782,-0.0914,-0.1248,1.26,0.86,1.09,R3
招商安泰债券,130001,FUND_130001,CNY,固收类,固收+,0.0827,0.0993,0.0878,0.0554,0.089,0.0838,-0.0989,-0.0734,-0.1621,1.03,0.92,0.88,R3
嘉实沪深300B,510011,FUND_510011,CNY,权益类,股票型,0.1318,0.2216,0.0724,0.2364,0.28,0.1778,-0.2604,-0.2925,-0.3803,0.31,0.66,0.48,R4
银华量化优选,520003,FUND_520003,CNY,权益类,股票型,0.1637,0.2152,0.0985,0.23,0.2371,0.1795,-0.2287,-0.45,-0.422,0.64,0.43,0.85,R4
易方达稳健收益D,100015,FUND_100015,CNY,固收类,固收+,0.0768,0.1089,0.0729,0.1006,0.0577,0.0783,-0.0633,-0.1219,-0.1044,0.87,1.2,1.2,R2
华夏成长证券投资基金,000001,FUND_000001,CNY,权益类,股票型,-0.027,-0.0332,-0.0855,0.1622,0.2197,0.287,0.1411,0.1693,0.404,-0.35,-0.29,-0.4,R5
华泰柏瑞沪深300,510300,FUND_510300,CNY,权益类,股票型,0.1691,0.0685,-0.0144,0.1525,0.1744,0.1825,0.1008,0.1625,0.2419,0.91,0.22,-0.24,R4
南方中证500,510500,FUND_510500,CNY,权益类,股票型,0.2701,0.0874,0.0175,0.2027,0.2158,0.2128,0.1381,0.1987,0.3016,1.18,0.27,-0.06,R5
嘉实沪深300,159919,FUND_159919,CNY,权益类,股票型,0.1574,0.0735,-0.008,0.154,0.1756,0.1819,0.1144,0.1804,0.2238,0.83,0.25,-0.21,R4
易方达创业板,159915,FUND_159915,CNY,权益类,股票型,0.4944,0.1252,0.0326,0.2947,0.3273,0.31,0.2072,0.3372,0.4088,1.58,0.29,0.01,R5
前海开源中证军工指数型A,000596,FUND_000596,CNY,权益类,股票型,-0.188,-0.1884,-0.1256,0.311,0.3483,0.4142,0.3196,0.5304,0.5654,-0.7,-0.63,-0.38,R5
招商中证白酒指数分级,161725,FUND_161725,CNY,权益类,股票型,-0.1092,-0.136,-0.1274,0.1819,0.2468,0.2745,0.1858,0.3384,0.4907,-0.77,-0.67,-0.57,R5
