product_name,product_code,currency,asset_class,sub_category,risk_level,return_1y,return_3y,return_5y,volatility_1y,volatility_3y,volatility_5y,max_drawdown_1y,max_drawdown_2y,max_drawdown_3y,sharpe_ratio_1y,sharpe_ratio_3y,sharpe_ratio_5y
华夏沪深300ETF,510000,CNY,权益类,股票型,R5,0.2373,0.1484,0.1493,0.2785,0.2018,0.1986,-0.1263,-0.2424,-0.3776,0.84,0.57,0.56
易方达中证500C,510017,CNY,权益类,股票型,R3,0.1665,0.1957,0.133,0.1539,0.2161,0.2156,-0.2802,-0.2885,-0.3353,0.41,0.71,
天弘新能源C,530014,CNY,权益类,股票型,R4,0.1567,0.1909,,0.2325,0.1758,0.2077,-0.178,-0.4252,-0.2965,0.53,0.75,0.52
嘉实沪深300B,510011,CNY,权益类,股票型,R4,0.1318,0.2216,0.0724,0.2364,0.28,0.1778,-0.2604,-0.2925,-0.3803,0.31,0.66,0.48
华宝科技龙头,530004,CNY,权益类,股票型,R5,0.1199,0.1482,0.1295,,0.228,0.2246,-0.2953,-0.4151,-0.2378,0.78,0.52,0.84
汇添富中证800,510007,CNY,权益类,股票型,R5,0.0509,0.1446,0.1384,0.2765,0.1919,0.1828,-0.2564,-0.2313,-0.3137,0.57,0.74,0.64
广发安泽短债,010001,CNY,固收类,纯债,R1,0.0416,0.04,0.038,0.016,0.0136,0.0097,-0.0061,-0.0191,-0.0282,2.25,2.04,1.76
广发安泽短债D,010013,CNY,固收类,纯债,R1,0.0336,0.0243,,,0.0061,0.0114,-0.0117,-0.018,-0.0296,2.41,2.8,1.58
易方达短债D,010014,CNY,固收类,纯债,R1,0.0302,0.0368,0.0286,0.0123,0.0042,0.0091,-0.0109,-0.0076,-0.0081,3.0,2.3,2.0
易方达纯债B,020007,CNY,固收类,纯债,R1,0.0283,0.0271,0.0289,0.0085,0.0126,,-0.0181,-0.0229,-0.0307,2.61,2.7,1.87
理财通,000002,CNY,现金类,现金类,R1,0.0269,0.0229,0.028,0.0085,0.0125,0.0124,-0.003,-0.0192,-0.0221,1.62,1.82,2.19
博时稳定纯债,020004,CNY,固收类,纯债,R1,0.0225,0.0253,0.0313,0.0109,0.0106,0.0093,-0.0068,-0.0067,-0.0159,2.16,2.34,2.47
招商安瑞进取D,020015,CNY,固收类,纯债,R2,0.015,0.025,0.028,0.0051,0.0084,,-0.0096,-0.0167,-0.0265,2.31,2.25,
兴全可转债,120000,CNY,固收类,固收+,R4,0.0959,0.12,,0.0662,0.106,0.0775,-0.1095,-0.1431,-0.1702,1.11,1.04,0.78
国泰黄金ETF,510001,CNY,另类资产,商品及宏观策略,R5,0.0302,0.1279,0.0546,0.1071,0.1086,0.1459,-0.25,-0.08,-0.159,0.86,0.74,0.76
博时信用债D,110014,CNY,固收类,固收+,R3,0.1072,0.108,0.0839,0.0812,0.0703,0.0837,-0.0782,-0.0914,-0.1248,1.26,0.86,1.09
明汯中性优选B,890005,CNY,另类资产,量化对冲,R3,0.0957,0.1284,0.0875,0.0911,0.1318,0.1262,-0.093,-0.1031,-0.2884,0.6,0.53,0.69
招商安泰债券,130001,CNY,固收类,固收+,R3,0.0827,0.0993,0.0878,0.0554,0.089,0.0838,-0.0989,-0.0734,-0.1621,1.03,0.92,0.88
淡水泉多策略B,900005,CNY,另类资产,量化对冲,R3,0.1695,0.1326,0.0615,0.0647,0.1527,,-0.1842,-0.1465,-0.3481,1.02,0.54,0.83
中金量化优选B,540007,CNY,另类资产,量化对冲,R3,0.231,0.2441,0.096,0.154,0.1477,0.2461,-0.1841,-0.3042,-0.3176,0.42,1.0,0.64
银华量化优选,520003,CNY,权益类,股票型,R4,0.1637,0.2152,0.0985,0.23,0.2371,0.1795,-0.2287,-0.45,-0.422,0.64,0.43,0.85
天弘余额宝D,000015,CNY,现金类,现金类,R1,0.0153,0.04,0.024,0.0089,0.0078,0.0087,-0.0059,-0.0085,-0.0258,2.19,2.2,1.83
易方达稳健收益D,100015,CNY,固收类,固收+,R2,0.0768,0.1089,0.0729,0.1006,0.0577,0.0783,-0.0633,-0.1219,-0.1044,0.87,1.2,1.2
灵均CTA策略B,880006,CNY,另类资产,商品及宏观策略,R3,0.0896,0.1336,0.0824,0.1405,0.1421,0.0894,-0.098,-0.1942,-0.1831,0.53,0.48,
汇添富中证800B,510015,CNY,权益类,股票型,R4,0.3423,0.1433,,0.1761,0.1789,0.1826,-0.2298,-0.2744,-0.3179,0.91,0.65,0.82
华宝科技龙头B,530010,CNY,权益类,股票型,R5,0.3234,0.1432,0.1466,0.224,0.28,,-0.155,-0.3096,,0.46,0.37,
中欧医疗健康C,530012,CNY,权益类,股票型,R4,0.3142,0.1806,,0.1633,0.2033,,-0.2797,-0.4037,,0.93,0.98,0.43
招商白酒,530001,CNY,权益类,股票型,R4,0.3088,0.2006,0.2,0.1755,0.2405,0.21,-0.1,-0.3606,,0.49,0.55,0.35
银华量化优选B,520008,CNY,权益类,股票型,R5,0.2979,0.156,0.1506,0.196,0.2213,,-0.2331,-0.2927,-0.2924,0.5,1.0,0.49
中欧医疗健康B,530006,CNY,权益类,股票型,R5,0.2794,0.0715,0.0806,0.12,0.2006,0.2247,-0.1311,-0.2944,-0.2097,0.35,0.35,0.62
富国沪深300,510006,CNY,权益类,股票型,R4,0.2753,0.1722,0.1008,0.2263,0.2638,0.204,-0.1272,-0.45,-0.2742,0.72,0.6,0.64
天弘新能源B,530008,CNY,权益类,股票型,R5,0.2716,0.1082,0.1439,0.1861,0.1822,0.2021,-0.2897,-0.3415,-0.4358,1.19,0.66,
国泰量化增强,520002,CNY,权益类,股票型,R4,0.2649,0.098,0.1125,0.1886,0.1871,0.2535,-0.1997,-0.3946,-0.2666,1.2,0.83,0.42
国泰量化增强B,520007,CNY,权益类,股票型,R5,0.256,0.184,0.1242,0.2153,0.2547,0.1887,-0.1908,-0.3152,-0.3574,0.97,0.79,0.74
华泰柏瑞沪深300,510300,CNY,股票类,股票型,R4,0.1691,0.0685,-0.0144,0.1525,0.1744,0.1825,-0.1008,-0.1625,-0.2419,0.91,0.22,-0.24
南方中证500,510500,CNY,股票类,股票型,R5,0.2701,0.0874,0.0175,0.2027,0.2158,0.2128,-0.1381,-0.1987,-0.3016,1.18,0.27,-0.06
嘉实沪深300,159919,CNY,股票类,股票型,R4,0.1574,0.0735,-0.008,0.154,0.1756,0.1819,-0.1144,-0.1804,-0.2238,0.83,0.25,-0.21
易方达创业板,159915,CNY,股票类,股票型,R5,0.4944,0.1252,0.0326,0.2947,0.3273,0.31,-0.2072,-0.3372,-0.4088,1.58,0.29,0.01
前海开源中证军工指数型A,000596,CNY,股票类,股票型,R5,-0.188,-0.1884,-0.1256,0.311,0.3483,0.4142,-0.3196,-0.5304,-0.5654,-0.7,-0.63,-0.38
招商中证白酒指数分级,161725,CNY,股票类,股票型,R5,-0.1092,-0.136,-0.1274,0.1819,0.2468,0.2745,-0.1858,-0.3384,-0.4907,-0.77,-0.67,-0.57
