product_name,product_code,currency,asset_class,sub_category,risk_level,return_1y,return_3y,return_5y,volatility_1y,volatility_3y,volatility_5y,max_drawdown_1y,max_drawdown_2y,max_drawdown_3y,sharpe_ratio_1y,sharpe_ratio_3y,sharpe_ratio_5y
幻方CTA,880003,CNY,另类,CTA策略,R4,8.86,11.62,8.09,13.68,14.84,11.19,-13.05,-19.57,-20.84,0.65,,0.45
九坤CTA优选,880000,CNY,另类,CTA策略,R4,5.11,3.0,,13.64,17.45,14.29,-13.95,-21.7,-17.46,0.56,0.83,
明汯CTA精选,880001,CNY,另类,CTA策略,R3,13.27,12.18,12.0,14.37,11.1,11.44,-23.85,-22.82,-25.06,0.67,,0.75
明汯CTA精选B,880005,CNY,另类,CTA策略,R4,10.37,7.65,,13.0,14.15,8.25,-25.0,-22.03,-30.13,,0.66,0.7
易方达安心债券,130000,CNY,固收+,二级债基,R3,10.92,5.71,9.45,5.71,8.45,6.56,-9.19,-11.27,-13.97,1.11,1.23,0.95
招商安泰债券,130001,CNY,固收+,二级债基,R3,8.27,9.93,8.78,5.54,8.9,8.38,-9.89,-7.34,-16.21,1.03,0.92,0.88
易方达安心债券C,130008,CNY,固收+,二级债基,R3,12.74,6.65,7.42,6.33,11.0,,-12.56,-11.34,-12.49,1.1,0.92,0.85
南方宝元债券B,130006,CNY,固收+,二级债基,R2,9.96,4.81,7.66,7.96,8.83,7.78,-4.91,-12.03,-17.54,1.03,1.05,
博时稳定价值B,130007,CNY,固收+,二级债基,R3,9.15,8.08,5.95,6.67,5.9,9.69,-12.73,-15.1,-18.91,1.22,0.9,
博时稳定价值C,130011,CNY,固收+,二级债基,R2,4.33,,7.5,9.67,5.01,7.97,-5.32,-17.04,-7.56,1.1,0.83,0.87
博时信用债,110002,CNY,固收+,偏债混合型,R3,15.0,7.65,5.8,5.24,6.9,7.46,-3.62,-14.44,-14.44,1.0,1.16,
博时信用债D,110014,CNY,固收+,偏债混合型,R3,10.72,10.8,8.39,8.12,7.03,8.37,-7.82,-9.14,-12.48,1.26,0.86,1.09
南方安心优选B,110005,CNY,固收+,偏债混合型,R3,9.57,8.09,4.96,9.49,,8.31,-3.0,-13.65,-14.46,1.06,1.23,0.86
南方安心优选C,110009,CNY,固收+,偏债混合型,R2,6.92,7.91,7.37,7.52,8.53,5.94,-4.67,-12.81,-10.19,1.09,1.03,0.97
广发稳健增长B,110004,CNY,固收+,偏债混合型,R3,12.2,10.34,9.07,9.3,7.75,7.68,-5.38,-15.56,-13.75,0.9,0.96,1.08
南方安心优选,110001,CNY,固收+,偏债混合型,R3,10.41,6.9,7.95,8.41,5.73,9.43,-3.61,-14.8,-17.34,1.07,1.01,0.98
广发稳健增长,110000,CNY,固收+,偏债混合型,R3,10.48,8.58,10.0,6.72,7.2,6.72,-10.67,-14.89,-9.85,1.36,0.85,0.74
中银稳健增利C,110011,CNY,固收+,偏债混合型,R2,8.88,5.14,7.19,,6.98,,-6.48,-14.95,-17.62,0.53,0.87,
兴全可转债,120000,CNY,固收+,可转债型,R4,9.59,12.0,,6.62,10.6,7.75,-10.95,-14.31,-17.02,1.11,1.04,0.78
长信可转债,120002,CNY,固收+,可转债型,R4,10.94,7.03,9.36,5.55,5.8,7.78,-5.86,-6.19,-17.68,1.27,0.94,0.85
富国可转债C,120009,CNY,固收+,可转债型,R3,11.61,8.99,7.23,8.73,11.0,,,-12.72,-14.54,1.26,1.14,1.07
富国可转债B,120005,CNY,固收+,可转债型,R4,10.04,7.91,7.72,8.15,6.08,,-6.01,-14.35,-22.89,0.89,1.21,1.01
兴全可转债B,120004,CNY,固收+,可转债型,R3,12.52,9.09,6.44,9.54,5.0,8.94,-14.22,-13.86,-20.82,0.68,1.15,0.8
兴全可转债C,120008,CNY,固收+,可转债型,R4,15.0,,6.79,10.22,6.44,8.27,-12.16,-14.84,-6.41,0.95,0.99,
易方达黄金ETFB,510007,CNY,另类,商品型,R4,10.13,8.21,,6.0,,12.93,-21.2,-18.67,-20.77,1.14,,
国泰黄金ETF,510001,CNY,另类,商品型,R5,3.02,12.79,5.46,10.71,10.86,14.59,-25.0,-8.0,-15.9,0.86,0.74,0.76
华安黄金ETF,510000,CNY,另类,商品型,R3,11.44,,8.19,11.63,13.24,10.73,-11.89,-21.03,-20.14,0.79,0.95,0.72
博时黄金,510002,CNY,另类,商品型,R5,13.35,10.94,8.75,13.31,,11.06,-15.76,-20.07,,1.08,0.85,
华安黄金ETFB,510004,CNY,另类,商品型,R5,6.63,4.86,6.09,16.02,15.12,12.65,-11.37,-16.16,-26.51,0.91,0.89,0.83
易方达黄金ETF,510003,CNY,另类,商品型,R3,,3.0,8.98,13.68,12.45,10.63,-9.38,-13.79,-27.33,,0.82,
嘉实增强收益,100004,CNY,固收+,固收增强型,R2,5.33,9.43,6.64,7.25,9.07,8.06,-10.08,-8.15,,0.73,1.06,0.97
易方达稳健收益D,100015,CNY,固收+,固收增强型,R2,7.68,10.89,7.29,10.06,5.77,7.83,-6.33,-12.19,-10.44,0.87,1.2,1.2
工银双利C,100012,CNY,固收+,固收增强型,R3,8.26,7.85,7.93,8.36,6.0,7.98,-7.17,-10.4,-10.37,1.21,,0.95
华夏回报B,100008,CNY,固收+,固收增强型,R2,9.59,6.04,7.61,4.59,9.54,,-7.58,-11.54,-10.83,1.42,1.13,0.58
工银双利D,100017,CNY,固收+,固收增强型,R2,8.9,8.47,9.33,6.0,9.48,7.23,-9.15,-9.97,-20.83,1.1,0.98,
华夏回报,100003,CNY,固收+,固收增强型,R2,7.89,5.18,5.83,5.78,10.63,8.67,-5.19,-9.79,-20.86,0.87,1.04,
招商产业债,100001,CNY,固收+,固收增强型,R3,14.55,10.25,6.6,5.79,11.0,7.57,-8.96,-12.59,-14.56,0.96,0.85,0.79
工银双利B,100007,CNY,固收+,固收增强型,R3,7.91,7.89,7.46,4.58,5.98,8.43,-8.49,-13.19,-15.41,1.09,0.86,0.75
易方达稳健收益B,100005,CNY,固收+,固收增强型,R3,8.07,8.65,5.12,9.85,7.72,6.85,-5.85,-15.14,-22.19,0.61,1.06,0.67
华夏回报C,100013,CNY,固收+,固收增强型,R3,8.79,4.68,7.64,8.42,8.41,5.9,-12.24,-8.55,-15.69,1.17,0.95,0.88
招商产业债B,100006,CNY,固收+,固收增强型,R3,14.26,4.0,9.54,8.42,7.85,6.82,-7.8,-12.64,-10.26,1.03,0.98,
嘉实增强收益C,100014,CNY,固收+,固收增强型,R3,11.81,6.97,,8.19,7.31,6.96,-9.93,-11.67,-17.77,1.31,0.79,0.84
易方达稳健收益C,100010,CNY,固收+,固收增强型,R2,12.16,6.1,10.0,8.99,8.28,6.43,-6.9,-14.66,-14.92,1.5,0.93,1.06
淡水泉多策略,900002,CNY,另类,多策略对冲,R3,20.0,4.91,7.93,10.68,13.67,,-14.9,-22.53,-19.45,1.25,,0.7
景林对冲精选,900001,CNY,另类,多策略对冲,R3,9.39,8.46,10.59,6.0,16.72,8.3,-16.33,-21.36,-18.82,0.4,0.83,
景林对冲精选B,900004,CNY,另类,多策略对冲,R4,8.88,9.8,6.52,12.77,18.0,10.94,-16.79,-22.56,-17.85,,0.72,0.64
明汯中性优选,890002,CNY,另类,市场中性,R3,14.53,8.94,6.91,13.08,14.0,8.84,-9.43,-15.07,-18.01,0.91,0.75,0.82
九坤对冲精选,890001,CNY,另类,市场中性,R3,13.71,7.37,7.13,13.14,9.74,13.17,-17.57,-20.26,-28.71,0.3,0.72,1.0
九坤对冲精选B,890004,CNY,另类,市场中性,R3,17.7,4.2,5.64,12.64,7.98,11.1,-6.69,-18.89,-21.06,0.48,0.64,0.67
零钱通B,5,CNY,现金类,现金类-其他,R1,2.92,3.15,2.19,0.44,0.36,0.8,-0.13,0.0,-1.36,2.44,,1.36
招财宝B,7,CNY,现金类,现金类-其他,R1,2.79,3.51,3.78,0.39,1.12,0.58,-1.05,0.0,-3.5,2.35,2.26,2.23
零钱通,1,CNY,现金类,现金类-其他,R1,2.81,3.06,3.02,0.93,1.26,1.05,-1.87,-0.52,-3.66,2.64,2.49,1.57
余额宝B,4,CNY,现金类,现金类-其他,R1,2.67,2.84,2.86,0.81,0.78,1.35,-0.72,-1.72,-1.3,2.12,2.51,2.01
招财宝,3,CNY,现金类,现金类-其他,R1,4.21,2.22,2.63,0.99,1.03,0.45,-0.79,-1.86,-2.01,2.45,,1.9
广发安泽短债D,10013,CNY,现金类,短债型,R1,3.36,2.43,,,0.61,1.14,-1.17,-1.8,-2.96,2.41,2.8,1.58
南方短债C,10011,CNY,现金类,短债型,R2,3.24,2.76,2.77,0.22,1.3,0.72,-1.09,0.0,-1.7,1.97,1.95,
易方达短债D,10014,CNY,现金类,短债型,R1,3.02,3.68,2.86,1.23,0.42,0.91,-1.09,-0.76,-0.81,3.0,2.3,2.0
广发安泽短债B,10005,CNY,现金类,短债型,R2,4.33,3.81,,0.77,0.63,0.93,-1.5,-1.27,-1.23,2.71,2.06,1.84
嘉实超短债C,10008,CNY,现金类,短债型,R2,1.79,,3.42,0.63,0.54,0.83,-0.43,-2.26,-1.94,2.41,2.34,1.95
嘉实超短债D,10012,CNY,现金类,短债型,R2,3.86,2.96,2.25,1.46,0.6,,-0.06,-0.69,-2.45,2.73,2.12,2.16
易方达短债C,10010,CNY,现金类,短债型,R2,4.5,2.91,,0.64,0.82,1.27,-1.32,-2.1,-2.48,1.89,2.14,2.39
广发安泽短债,10001,CNY,现金类,短债型,R1,4.16,4.0,3.8,1.6,1.36,0.97,-0.61,-1.91,-2.82,2.25,2.04,1.76
博时稳定纯债B,20009,CNY,现金类,纯债型,R2,3.51,2.54,,0.08,1.13,,-0.31,-1.6,-1.05,2.85,2.56,2.39
招商安瑞进取C,20010,CNY,现金类,纯债型,R2,3.56,2.94,2.18,0.88,0.52,1.5,-1.09,-1.41,-1.45,2.27,2.69,1.71
工银纯债B,20006,CNY,现金类,纯债型,R1,,3.18,,0.87,1.23,0.98,-1.47,-0.69,-2.54,2.55,2.23,2.45
工银纯债,20001,CNY,现金类,纯债型,R2,3.97,2.89,2.45,0.75,1.28,0.96,-1.12,-1.78,-2.39,1.9,2.67,
华夏纯债,20003,CNY,现金类,纯债型,R1,2.65,3.01,3.03,0.87,,0.97,-1.24,-0.85,-3.35,2.3,,2.48
博时稳定纯债,20004,CNY,现金类,纯债型,R1,2.25,2.53,3.13,1.09,1.06,0.93,-0.68,-0.67,-1.59,2.16,2.34,2.47
