product_name,product_code,currency,asset_class,sub_category,risk_level,return_1y,return_3y,return_5y,volatility_1y,volatility_3y,volatility_5y,max_drawdown_1y,max_drawdown_2y,max_drawdown_3y,sharpe_ratio_1y,sharpe_ratio_3y,sharpe_ratio_5y
嘉实增强收益,100004,CNY,固收+,固收增强型,R2,5.33,9.43,6.64,7.25,9.07,8.06,-10.08,-8.15,,0.73,1.06,0.97
易方达稳健收益D,100015,CNY,固收+,固收增强型,R2,7.68,10.89,7.29,10.06,5.77,7.83,-6.33,-12.19,-10.44,0.87,1.2,1.2
工银双利C,100012,CNY,固收+,固收增强型,R3,8.26,7.85,7.93,8.36,6.0,7.98,-7.17,-10.4,-10.37,1.21,,0.95
华夏回报B,100008,CNY,固收+,固收增强型,R2,9.59,6.04,7.61,4.59,9.54,,-7.58,-11.54,-10.83,1.42,1.13,0.58
工银双利D,100017,CNY,固收+,固收增强型,R2,8.9,8.47,9.33,6.0,9.48,7.23,-9.15,-9.97,-20.83,1.1,0.98,
华夏回报,100003,CNY,固收+,固收增强型,R2,7.89,5.18,5.83,5.78,10.63,8.67,-5.19,-9.79,-20.86,0.87,1.04,
招商产业债,100001,CNY,固收+,固收增强型,R3,14.55,10.25,6.6,5.79,11.0,7.57,-8.96,-12.59,-14.56,0.96,0.85,0.79
工银双利B,100007,CNY,固收+,固收增强型,R3,7.91,7.89,7.46,4.58,5.98,8.43,-8.49,-13.19,-15.41,1.09,0.86,0.75
易方达稳健收益B,100005,CNY,固收+,固收增强型,R3,8.07,8.65,5.12,9.85,7.72,6.85,-5.85,-15.14,-22.19,0.61,1.06,0.67
华夏回报C,100013,CNY,固收+,固收增强型,R3,8.79,4.68,7.64,8.42,8.41,5.9,-12.24,-8.55,-15.69,1.17,0.95,0.88
招商产业债B,100006,CNY,固收+,固收增强型,R3,14.26,4.0,9.54,8.42,7.85,6.82,-7.8,-12.64,-10.26,1.03,0.98,
嘉实增强收益C,100014,CNY,固收+,固收增强型,R3,11.81,6.97,,8.19,7.31,6.96,-9.93,-11.67,-17.77,1.31,0.79,0.84
易方达稳健收益C,100010,CNY,固收+,固收增强型,R2,12.16,6.1,10.0,8.99,8.28,6.43,-6.9,-14.66,-14.92,1.5,0.93,1.06
