product_name,product_code,currency,asset_class,sub_category,risk_level,return_1y,return_3y,return_5y,volatility_1y,volatility_3y,volatility_5y,max_drawdown_1y,max_drawdown_2y,max_drawdown_3y,sharpe_ratio_1y,sharpe_ratio_3y,sharpe_ratio_5y
博时稳定纯债B,20009,CNY,现金类,纯债型,R2,3.51,2.54,,0.08,1.13,,-0.31,-1.6,-1.05,2.85,2.56,2.39
招商安瑞进取C,20010,CNY,现金类,纯债型,R2,3.56,2.94,2.18,0.88,0.52,1.5,-1.09,-1.41,-1.45,2.27,2.69,1.71
工银纯债B,20006,CNY,现金类,纯债型,R1,,3.18,,0.87,1.23,0.98,-1.47,-0.69,-2.54,2.55,2.23,2.45
工银纯债,20001,CNY,现金类,纯债型,R2,3.97,2.89,2.45,0.75,1.28,0.96,-1.12,-1.78,-2.39,1.9,2.67,
华夏纯债,20003,CNY,现金类,纯债型,R1,2.65,3.01,3.03,0.87,,0.97,-1.24,-0.85,-3.35,2.3,,2.48
博时稳定纯债,20004,CNY,现金类,纯债型,R1,2.25,2.53,3.13,1.09,1.06,0.93,-0.68,-0.67,-1.59,2.16,2.34,2.47
招商安瑞进取D,20015,CNY,现金类,纯债型,R2,1.5,2.5,2.8,0.51,0.84,,-0.96,-1.67,-2.65,2.31,2.25,
招商安瑞进取B,20005,CNY,现金类,纯债型,R1,2.9,2.36,3.4,0.94,0.0,1.07,-1.27,-1.57,-1.67,2.32,2.35,1.77
工银纯债D,20016,CNY,现金类,纯债型,R2,2.18,3.68,2.86,,,0.76,-0.65,-1.33,-1.05,2.36,1.89,2.01
博时稳定纯债C,20014,CNY,现金类,纯债型,R1,3.38,2.03,,1.45,0.68,,-0.93,-0.29,,2.59,2.01,1.63
