product_name,product_code,currency,asset_class,sub_category,risk_level,return_1y,return_3y,return_5y,volatility_1y,volatility_3y,volatility_5y,max_drawdown_1y,max_drawdown_2y,max_drawdown_3y,sharpe_ratio_1y,sharpe_ratio_3y,sharpe_ratio_5y
易方达中证500C,510017,CNY,股票类,股票型,R3,16.65,19.57,13.3,15.39,21.61,21.56,-28.02,-28.85,-33.53,0.41,0.71,
南方创业板B,510010,CNY,股票类,股票型,R5,19.8,15.79,20.0,20.13,22.06,20.4,-29.8,-21.43,-27.98,,0.79,
嘉实沪深300B,510011,CNY,股票类,股票型,R4,13.18,22.16,7.24,23.64,28.0,17.78,-26.04,-29.25,-38.03,0.31,0.66,0.48
富国沪深300B,510014,CNY,股票类,股票型,R3,33.99,,14.28,15.64,23.3,17.82,-17.58,-21.31,-40.57,0.94,0.72,0.74
嘉实沪深300,510003,CNY,股票类,股票型,R3,12.07,19.41,7.92,21.94,14.14,16.85,-21.27,-24.46,-32.63,0.67,,0.58
南方创业板,510002,CNY,股票类,股票型,R3,9.31,12.91,,21.5,16.97,21.53,-26.25,-32.19,,0.55,0.97,0.62
南方创业板C,510018,CNY,股票类,股票型,R4,,18.16,16.56,25.74,16.18,17.92,-19.28,-26.15,-29.88,1.2,0.75,0.78
广发中证1000,510005,CNY,股票类,股票型,R3,13.71,14.03,13.74,25.39,19.32,19.99,-29.41,-38.97,-27.5,1.04,,0.62
汇添富中证800B,510015,CNY,股票类,股票型,R4,34.23,14.33,,17.61,17.89,18.26,-22.98,-27.44,-31.79,0.91,0.65,0.82
博时上证50B,510012,CNY,股票类,股票型,R3,23.55,11.13,18.31,17.48,19.87,22.74,-30.19,-28.29,-23.54,0.3,0.68,0.66
博时上证50,510004,CNY,股票类,股票型,R3,8.91,12.08,10.77,25.76,22.2,15.65,-20.47,-32.89,-39.42,0.85,0.83,0.75
华夏沪深300ETFB,510008,CNY,股票类,股票型,R5,27.26,,9.87,19.53,19.63,16.48,-20.65,-28.04,,0.7,0.61,0.43
广发中证1000B,510013,CNY,股票类,股票型,R5,25.86,9.62,7.55,23.35,22.04,21.19,-20.33,-35.1,-32.14,0.77,,0.53
