product_name,product_code,currency,asset_class,sub_category,risk_level,return_1y,return_3y,return_5y,volatility_1y,volatility_3y,volatility_5y,max_drawdown_1y,max_drawdown_2y,max_drawdown_3y,sharpe_ratio_1y,sharpe_ratio_3y,sharpe_ratio_5y
天弘余额宝C,10,CNY,现金类,货币基金,R1,2.87,3.84,2.28,0.19,1.56,0.67,-1.33,-0.72,-2.61,2.93,2.34,1.75
南方现金增利,2,CNY,现金类,货币基金,R1,3.72,2.47,2.3,0.08,1.13,0.34,-2.0,-1.21,0.0,2.25,2.39,
华安日日鑫D,18,CNY,现金类,货币基金,R1,2.9,2.23,2.81,0.57,0.64,0.97,-0.17,-1.2,-3.2,2.42,2.52,1.72
天弘余额宝D,15,CNY,现金类,货币基金,R1,1.53,4.0,2.4,0.89,0.78,0.87,-0.59,-0.85,-2.58,2.19,2.2,1.83
易方达易理财C,11,CNY,现金类,货币基金,R1,4.5,2.57,3.23,1.15,1.49,1.34,-0.98,-2.07,-1.54,2.0,2.8,
天弘余额宝,0,CNY,现金类,货币基金,R1,3.42,2.94,3.14,0.54,0.98,0.22,-1.06,-2.18,-2.74,2.71,2.48,2.08
博时现金收益,4,CNY,现金类,货币基金,R1,2.33,2.92,,1.0,1.39,0.93,-1.01,-0.89,-0.61,2.46,2.1,
南方现金增利C,12,CNY,现金类,货币基金,R1,3.1,2.7,2.98,0.33,0.46,1.2,-1.33,-2.29,-1.46,2.69,2.35,2.2
天弘余额宝B,5,CNY,现金类,货币基金,R1,2.02,2.31,2.76,0.7,0.82,0.77,,-1.1,-2.07,2.43,2.12,1.31
博时现金收益B,9,CNY,现金类,货币基金,R1,3.14,2.89,3.16,1.06,0.46,1.2,-1.08,-1.52,-2.93,2.08,,1.63
华安日日鑫C,13,CNY,现金类,货币基金,R1,2.43,2.12,3.58,0.84,0.79,1.25,-0.72,-1.16,0.0,2.01,,
博时现金收益D,19,CNY,现金类,货币基金,R1,2.9,,2.91,0.61,1.19,0.7,-0.79,-2.17,-2.44,2.52,1.97,2.42
易方达易理财B,6,CNY,现金类,货币基金,R1,2.3,2.82,2.36,1.3,1.59,,-0.39,-1.66,-0.51,2.31,1.98,1.72
