product_name,product_code,currency,asset_class,sub_category,risk_level,metric_return,metric_volatility,metric_drawdown,metric_sharpe,z_return,z_sharpe,z_vol,z_dd,score,family
嘉实增强收益,100004,CNY,固收+,固收增强型,R2,9.43,7.25,8.15,1.06,1.158383,0.754872,-0.334745,-1.444545,0.944973,B
易方达稳健收益D,100015,CNY,固收+,固收增强型,R2,10.89,10.06,12.19,1.2,1.956556,1.550803,1.044034,-0.127502,0.886903,B
工银双利C,100012,CNY,固收+,固收增强型,R3,7.85,8.36,10.4,1.21,0.294607,1.607655,0.209897,-0.711044,0.84826,B
华夏回报B,100008,CNY,固收+,固收增强型,R2,6.04,4.59,11.54,1.13,-0.694908,1.152837,-1.639925,-0.339403,0.652993,B
工银双利D,100017,CNY,固收+,固收增强型,R2,8.47,6.0,9.97,0.98,0.633557,0.300054,-0.948081,-0.851224,0.601751,B
华夏回报,100003,CNY,固收+,固收增强型,R2,5.18,5.78,9.79,1.04,-1.165065,0.641167,-1.056029,-0.909904,0.409334,B
招商产业债,100001,CNY,固收+,固收增强型,R3,10.25,5.79,12.59,0.85,1.606672,-0.439026,-1.051122,0.002898,0.302668,B
工银双利B,100007,CNY,固收+,固收增强型,R3,7.89,4.58,13.19,0.86,0.316475,-0.382173,-1.644831,0.198498,0.107526,B
易方达稳健收益B,100005,CNY,固收+,固收增强型,R3,8.65,9.85,15.14,1.06,0.731962,0.754872,0.940994,0.8342,0.098642,B
华夏回报C,100013,CNY,固收+,固收增强型,R3,4.68,8.42,8.55,0.95,-1.438412,0.129497,0.239337,-1.314145,0.056752,B
招商产业债B,100006,CNY,固收+,固收增强型,R3,4.0,8.42,12.64,0.98,-1.810163,0.300054,0.239337,0.019198,-0.282711,B
嘉实增强收益C,100014,CNY,固收+,固收增强型,R3,6.97,8.19,11.67,0.79,-0.186483,-0.780139,0.126484,-0.297023,-0.294069,B
易方达稳健收益C,100010,CNY,固收+,固收增强型,R2,6.1,8.99,14.66,0.93,-0.662107,0.015792,0.519019,0.677719,-0.373387,B
