product_name,product_code,currency,asset_class,sub_category,risk_level,metric_return,metric_volatility,metric_drawdown,metric_sharpe,z_return,z_sharpe,z_vol,z_dd,score,family
博时稳定纯债B,20009,CNY,现金类,纯债型,R2,2.54,0.08,1.6,2.56,-0.609069,0.879878,-2.393487,0.250518,0.618906,C
招商安瑞进取C,20010,CNY,现金类,纯债型,R2,2.94,0.88,1.41,2.69,0.363281,1.210893,-0.140793,-0.040901,0.614619,C
工银纯债B,20006,CNY,现金类,纯债型,R1,3.18,0.87,0.69,2.23,0.94669,0.039609,-0.168952,-1.145223,0.481403,C
工银纯债,20001,CNY,现金类,纯债型,R2,2.89,0.75,1.78,2.67,0.241737,1.159967,-0.506856,0.526598,0.464208,C
华夏纯债,20003,CNY,现金类,纯债型,R1,3.01,0.87,0.85,2.3,0.533442,0.217848,-0.168952,-0.899818,0.446664,C
博时稳定纯债,20004,CNY,现金类,纯债型,R1,2.53,1.09,0.67,2.34,-0.633378,0.319698,0.450539,-1.175899,0.365715,C
招商安瑞进取D,20015,CNY,现金类,纯债型,R2,2.5,0.51,1.67,2.25,-0.706304,0.090534,-1.182664,0.357882,0.040145,C
招商安瑞进取B,20005,CNY,现金类,纯债型,R1,2.36,0.94,1.57,2.35,-1.046626,0.345161,0.028159,0.204504,-0.014915,C
工银纯债D,20016,CNY,现金类,纯债型,R2,3.68,0.76,1.33,1.89,2.162128,-0.826123,-0.478697,-0.163603,-0.034657,C
博时稳定纯债C,20014,CNY,现金类,纯债型,R1,2.03,1.45,0.29,2.01,-1.848815,-0.520571,1.464251,-1.758736,-0.111155,C
