product_name,product_code,currency,asset_class,sub_category,risk_level,metric_return,metric_volatility,metric_drawdown,metric_sharpe,z_return,z_sharpe,z_vol,z_dd,score,family
易方达中证500C,510017,CNY,股票类,股票型,R3,19.57,15.39,28.85,0.71,0.9805,0.197699,-1.595362,-0.134241,0.67181,A
南方创业板B,510010,CNY,股票类,股票型,R5,15.79,20.13,21.43,0.79,0.134991,0.649582,-0.373021,-1.285762,0.523418,A
嘉实沪深300B,510011,CNY,股票类,股票型,R4,22.16,23.64,29.25,0.66,1.559831,-0.084728,0.532131,-0.072164,0.447291,A
富国沪深300B,510014,CNY,股票类,股票型,R3,14.28,15.64,21.31,0.72,-0.202766,0.254184,-1.530893,-1.304385,0.443288,A
嘉实沪深300,510003,CNY,股票类,股票型,R3,19.41,21.94,24.46,0.67,0.944711,-0.028243,0.093739,-0.815532,0.429033,A
南方创业板,510002,CNY,股票类,股票型,R3,12.91,21.5,32.19,0.97,-0.509207,1.666318,-0.019728,0.384099,0.350333,A
南方创业板C,510018,CNY,股票类,股票型,R4,18.16,25.74,26.15,0.75,0.665112,0.42364,1.073675,-0.553258,0.303001,A
广发中证1000,510005,CNY,股票类,股票型,R3,14.03,25.39,38.97,1.04,-0.258686,2.061716,0.983418,1.436298,0.268103,A
汇添富中证800B,510015,CNY,股票类,股票型,R4,14.33,17.61,27.44,0.65,-0.191582,-0.141213,-1.022873,-0.353061,0.089912,A
博时上证50B,510012,CNY,股票类,股票型,R3,11.13,17.48,28.29,0.68,-0.907357,0.028243,-1.056397,-0.221148,-0.116058,A
博时上证50,510004,CNY,股票类,股票型,R3,12.08,25.76,32.89,0.83,-0.694861,0.875523,1.078833,0.492733,-0.172503,A
华夏沪深300ETFB,510008,CNY,股票类,股票型,R5,9.87,19.53,28.04,0.61,-1.189193,-0.367155,-0.527747,-0.259946,-0.426568,A
广发中证1000B,510013,CNY,股票类,股票型,R5,9.62,23.35,35.1,0.77,-1.245113,0.536611,0.457347,0.835706,-0.441934,A
