product_name,product_code,currency,asset_class,sub_category,risk_level,metric_return,metric_volatility,metric_drawdown,metric_sharpe,z_return,z_sharpe,z_vol,z_dd,score,family
天弘余额宝C,10,CNY,现金类,货币基金,R1,3.84,0.19,0.72,2.34,2.199047,0.545768,-1.389133,-1.200978,1.034164,C
南方现金增利,2,CNY,现金类,货币基金,R1,2.47,0.08,1.21,2.39,-0.815154,0.701702,-1.616352,-0.531491,0.63615,C
华安日日鑫D,18,CNY,现金类,货币基金,R1,2.23,0.57,1.2,2.52,-1.34319,1.10713,-0.604196,-0.545154,0.618065,C
天弘余额宝D,15,CNY,现金类,货币基金,R1,4.0,0.89,0.85,2.2,2.551071,0.109154,0.056805,-1.023359,0.602713,C
易方达易理财C,11,CNY,现金类,货币基金,R1,2.57,1.15,2.07,2.8,-0.59514,1.980359,0.593867,0.643527,0.549509,C
天弘余额宝,0,CNY,现金类,货币基金,R1,2.94,0.54,2.18,2.48,0.218915,0.982383,-0.666164,0.79382,0.325742,C
博时现金收益,4,CNY,现金类,货币基金,R1,2.92,1.0,0.89,2.1,0.174912,-0.202714,0.284024,-0.968707,0.174278,C
南方现金增利C,12,CNY,现金类,货币基金,R1,2.7,0.33,2.29,2.35,-0.309121,0.576955,-1.099946,0.944113,0.110476,C
天弘余额宝B,5,CNY,现金类,货币基金,R1,2.31,0.7,1.1,2.12,-1.167178,-0.14034,-0.335664,-0.681784,0.075014,C
博时现金收益B,9,CNY,现金类,货币基金,R1,2.89,1.06,1.52,2.08,0.108907,-0.265087,0.407961,-0.107938,-0.137211,C
华安日日鑫C,13,CNY,现金类,货币基金,R1,2.12,0.84,1.16,2.01,-1.585206,-0.483395,-0.046477,-0.599806,-0.189135,C
博时现金收益D,19,CNY,现金类,货币基金,R1,2.91,0.61,2.17,1.97,0.15291,-0.608142,-0.521571,0.780157,-0.414184,C
易方达易理财B,6,CNY,现金类,货币基金,R1,2.82,1.3,1.66,1.98,-0.045103,-0.576955,0.903711,0.083344,-0.4247,C
