product_name,product_code,currency,asset_class,sub_category,risk_level,metric_return,metric_volatility,metric_drawdown,metric_sharpe,z_return,z_sharpe,z_vol,z_dd,score,family,strategy_size_before,strategy_size_after,pool_type
中金量化优选B,540007,CNY,股票类,量化多因子,R3,24.41,15.4,30.42,1.0,1.495253,1.738871,-1.337202,0.202842,1.302098,A,10,8,Core
银华量化优选B,520008,CNY,股票类,股票增强型,R5,15.6,19.6,29.27,1.0,0.138547,1.93107,-0.887391,-0.793963,0.976569,A,12,6,Core
富国量化多因子B,540004,CNY,股票类,量化多因子,R3,23.46,20.01,24.22,0.85,1.293335,1.035824,-0.136247,-0.575871,0.922023,A,10,8,Core
中欧医疗健康C,530012,CNY,股票类,行业主题型,R4,18.06,16.33,40.37,0.98,0.663704,1.983476,-0.986337,1.202304,0.894118,A,15,9,Core
易方达中证500C,510017,CNY,股票类,股票型,R3,19.57,15.39,28.85,0.71,0.9805,0.197699,-1.595362,-0.134241,0.67181,A,20,13,Satellite
国泰量化增强B,520007,CNY,股票类,股票增强型,R5,18.4,21.53,31.52,0.79,0.771906,0.73835,-0.260424,-0.454555,0.635837,A,12,6,Satellite
南方创业板B,510010,CNY,股票类,股票型,R5,15.79,20.13,21.43,0.79,0.134991,0.649582,-0.373021,-1.285762,0.523418,A,20,13,Satellite
嘉实沪深300B,510011,CNY,股票类,股票型,R4,22.16,23.64,29.25,0.66,1.559831,-0.084728,0.532131,-0.072164,0.447291,A,20,13,Satellite
富国沪深300B,510014,CNY,股票类,股票型,R3,14.28,15.64,21.31,0.72,-0.202766,0.254184,-1.530893,-1.304385,0.443288,A,20,13,Satellite
兴全量化精选B,520009,CNY,股票类,股票增强型,R5,21.0,23.81,29.43,0.62,1.360024,-0.227185,0.480242,-0.769827,0.439932,A,12,6,Satellite
嘉实沪深300,510003,CNY,股票类,股票型,R3,19.41,21.94,24.46,0.67,0.944711,-0.028243,0.093739,-0.815532,0.429033,A,20,13,Satellite
易方达消费精选,530005,CNY,股票类,行业主题型,R4,21.1,21.3,22.71,0.48,1.303961,-0.608174,0.510029,-1.692273,0.420862,A,15,9,Satellite
长信量化先锋B,540006,CNY,股票类,量化多因子,R3,17.08,18.7,27.17,0.8,-0.062701,0.801474,-0.477516,-0.205354,0.361001,A,10,8,Satellite
易方达消费精选B,530011,CNY,股票类,行业主题型,R5,11.91,14.6,23.39,0.66,-0.631551,0.32482,-1.507206,-1.580817,0.355848,A,15,9,Satellite
南方创业板,510002,CNY,股票类,股票型,R3,12.91,21.5,32.19,0.97,-0.509207,1.666318,-0.019728,0.384099,0.350333,A,20,13,Satellite
招商白酒,530001,CNY,股票类,行业主题型,R4,20.06,17.55,36.06,0.55,1.084926,-0.245343,-0.61902,0.49587,0.312327,A,15,9,Satellite
南方创业板C,510018,CNY,股票类,股票型,R4,18.16,25.74,26.15,0.75,0.665112,0.42364,1.073675,-0.553258,0.303001,A,20,13,Satellite
广发中证1000,510005,CNY,股票类,股票型,R3,14.03,25.39,38.97,1.04,-0.258686,2.061716,0.983418,1.436298,0.268103,A,20,13,Satellite
天弘新能源,530002,CNY,股票类,行业主题型,R5,11.89,22.54,36.74,0.97,-0.635763,1.931643,0.883368,0.607326,0.229954,A,15,9,Satellite
富国量化多因子C,540008,CNY,股票类,量化多因子,R3,18.95,22.01,15.88,0.56,0.334758,-0.323402,0.384775,-1.623365,0.189763,A,10,8,Satellite
汇添富中证800B,510015,CNY,股票类,股票型,R4,14.33,17.61,27.44,0.65,-0.191582,-0.141213,-1.022873,-0.353061,0.089912,A,20,13,Satellite
华安量化优选C,540009,CNY,股票类,量化多因子,R3,15.76,13.38,37.59,0.66,-0.34326,0.145297,-1.863434,1.103386,0.04472,A,10,8,Satellite
华安量化优选B,540005,CNY,股票类,量化多因子,R4,18.51,21.82,23.77,0.57,0.241238,-0.276532,0.335278,-0.63239,0.032214,A,10,8,Satellite
华泰柏瑞量化,520001,CNY,股票类,股票增强型,R5,12.4,23.85,23.61,0.67,-0.585291,0.056796,0.493236,-1.647761,-0.011794,A,12,6,Satellite
国泰量化增强,520002,CNY,股票类,股票增强型,R4,9.8,18.86,39.46,0.83,-1.17341,0.965535,-1.127783,0.743177,-0.015065,A,12,6,Satellite
长信量化先锋,540002,CNY,股票类,量化多因子,R4,17.26,21.39,27.47,0.57,-0.024443,-0.276532,0.223258,-0.167674,-0.113679,A,10,8,Satellite
博时上证50B,510012,CNY,股票类,股票型,R3,11.13,17.48,28.29,0.68,-0.907357,0.028243,-1.056397,-0.221148,-0.116058,A,20,13,Satellite
招商白酒B,530007,CNY,股票类,行业主题型,R5,15.34,20.6,27.25,0.46,0.090843,-0.71184,0.299273,-0.94814,-0.120019,A,15,9,Satellite
天弘新能源B,530008,CNY,股票类,行业主题型,R5,10.82,18.61,34.15,0.66,-0.861117,0.32482,-0.299876,0.18281,-0.170144,A,15,9,Satellite
博时上证50,510004,CNY,股票类,股票型,R3,12.08,25.76,32.89,0.83,-0.694861,0.875523,1.078833,0.492733,-0.172503,A,20,13,Satellite
招商白酒C,530013,CNY,股票类,行业主题型,R4,12.41,18.81,36.23,0.61,-0.526246,0.065655,-0.23966,0.523734,-0.203818,A,15,9,Satellite
华夏沪深300ETFB,510008,CNY,股票类,股票型,R5,9.87,19.53,28.04,0.61,-1.189193,-0.367155,-0.527747,-0.259946,-0.426568,A,20,13,Satellite
广发中证1000B,510013,CNY,股票类,股票型,R5,9.62,23.35,35.1,0.77,-1.245113,0.536611,0.457347,0.835706,-0.441934,A,20,13,Satellite
国联安半导体,530003,CNY,股票类,行业主题型,R4,7.36,20.48,29.96,0.57,-1.589829,-0.141677,0.263144,-0.503956,-0.569905,A,15,9,Satellite
景顺长城量化精选,520000,CNY,股票类,股票增强型,R4,6.45,18.88,35.36,0.52,-1.931178,-0.795147,-1.121286,0.124701,-0.804726,A,12,6,Satellite
富国量化多因子,540000,CNY,股票类,量化多因子,R3,7.77,22.17,30.5,0.54,-2.041493,-0.417142,0.426456,0.21289,-0.956424,A,10,8,Satellite
