product_name,product_code,currency,asset_class,sub_category,risk_level,return_1y,return_3y,return_5y,volatility_1y,volatility_3y,volatility_5y,max_drawdown_1y,max_drawdown_2y,max_drawdown_3y,sharpe_ratio_1y,sharpe_ratio_3y,sharpe_ratio_5y,pool_type
中金量化优选B,540007,CNY,股票类,量化多因子,R3,23.1,24.41,9.6,15.4,14.77,24.61,-18.41,-30.42,-31.76,0.42,1.0,0.64,Core
银华量化优选B,520008,CNY,股票类,股票增强型,R5,29.79,15.6,15.06,19.6,22.13,,-23.31,-29.27,-29.24,0.5,1.0,0.49,Core
富国量化多因子B,540004,CNY,股票类,量化多因子,R3,20.14,23.46,13.73,20.01,23.9,15.0,-21.03,-24.22,,0.33,0.85,0.67,Core
中欧医疗健康C,530012,CNY,股票类,行业主题型,R4,31.42,18.06,,16.33,20.33,,-27.97,-40.37,,0.93,0.98,0.43,Core
易方达中证500C,510017,CNY,股票类,股票型,R3,16.65,19.57,13.3,15.39,21.61,21.56,-28.02,-28.85,-33.53,0.41,0.71,,Satellite
国泰量化增强B,520007,CNY,股票类,股票增强型,R5,25.6,18.4,12.42,21.53,25.47,18.87,-19.08,-31.52,-35.74,0.97,0.79,0.74,Satellite
南方创业板B,510010,CNY,股票类,股票型,R5,19.8,15.79,20.0,20.13,22.06,20.4,-29.8,-21.43,-27.98,,0.79,,Satellite
嘉实沪深300B,510011,CNY,股票类,股票型,R4,13.18,22.16,7.24,23.64,28.0,17.78,-26.04,-29.25,-38.03,0.31,0.66,0.48,Satellite
富国沪深300B,510014,CNY,股票类,股票型,R3,33.99,,14.28,15.64,23.3,17.82,-17.58,-21.31,-40.57,0.94,0.72,0.74,Satellite
兴全量化精选B,520009,CNY,股票类,股票增强型,R5,10.89,21.0,15.47,23.81,23.2,20.47,-28.11,-29.43,-39.42,0.94,0.62,0.51,Satellite
易方达消费精选,530005,CNY,股票类,行业主题型,R4,20.87,21.1,,21.3,28.0,25.33,-24.06,-22.71,-28.84,1.04,0.48,0.72,Satellite
长信量化先锋B,540006,CNY,股票类,量化多因子,R3,23.59,17.08,16.39,18.7,20.06,17.81,-25.28,-27.17,-27.94,0.47,0.8,0.81,Satellite
易方达消费精选B,530011,CNY,股票类,行业主题型,R5,21.53,11.91,,14.6,18.74,17.53,-11.96,-23.39,-34.06,1.07,0.66,0.51,Satellite
招商白酒,530001,CNY,股票类,行业主题型,R4,30.88,20.06,20.0,17.55,24.05,21.0,-10.0,-36.06,,0.49,0.55,0.35,Satellite
南方创业板C,510018,CNY,股票类,股票型,R4,,18.16,16.56,25.74,16.18,17.92,-19.28,-26.15,-29.88,1.2,0.75,0.78,Satellite
广发中证1000,510005,CNY,股票类,股票型,R3,13.71,14.03,13.74,25.39,19.32,19.99,-29.41,-38.97,-27.5,1.04,,0.62,Satellite
天弘新能源,530002,CNY,股票类,行业主题型,R5,16.06,11.89,13.06,22.54,27.57,23.11,-26.11,-36.74,-30.06,0.37,0.97,0.79,Satellite
富国量化多因子C,540008,CNY,股票类,量化多因子,R3,20.82,18.95,14.3,22.01,,18.33,-19.55,-15.88,-23.24,1.1,0.56,0.49,Satellite
汇添富中证800B,510015,CNY,股票类,股票型,R4,34.23,14.33,,17.61,17.89,18.26,-22.98,-27.44,-31.79,0.91,0.65,0.82,Satellite
华安量化优选C,540009,CNY,股票类,量化多因子,R3,19.06,15.76,16.6,13.38,26.35,20.07,-25.17,-37.59,-47.24,0.91,0.66,0.45,Satellite
华安量化优选B,540005,CNY,股票类,量化多因子,R4,16.89,18.51,20.0,21.82,21.87,19.24,-27.81,-23.77,-40.85,0.72,0.57,,Satellite
华泰柏瑞量化,520001,CNY,股票类,股票增强型,R5,20.34,12.4,20.0,23.85,14.0,21.01,-26.64,-23.61,-40.34,0.67,,0.69,Satellite
国泰量化增强,520002,CNY,股票类,股票增强型,R4,26.49,9.8,11.25,18.86,18.71,25.35,-19.97,-39.46,-26.66,1.2,0.83,0.42,Satellite
长信量化先锋,540002,CNY,股票类,量化多因子,R4,18.48,17.26,10.24,21.39,20.46,23.71,-20.91,-27.47,-37.3,0.58,0.57,0.68,Satellite
博时上证50B,510012,CNY,股票类,股票型,R3,23.55,11.13,18.31,17.48,19.87,22.74,-30.19,-28.29,-23.54,0.3,0.68,0.66,Satellite
招商白酒B,530007,CNY,股票类,行业主题型,R5,22.88,15.34,5.0,20.6,16.43,,-18.31,-27.25,-41.52,0.57,0.46,0.62,Satellite
天弘新能源B,530008,CNY,股票类,行业主题型,R5,27.16,10.82,14.39,18.61,18.22,20.21,-28.97,-34.15,-43.58,1.19,0.66,,Satellite
招商白酒C,530013,CNY,股票类,行业主题型,R4,24.22,12.41,,18.81,18.93,18.12,-22.2,-36.23,-31.84,0.69,0.61,0.5,Satellite
华夏沪深300ETFB,510008,CNY,股票类,股票型,R5,27.26,,9.87,19.53,19.63,16.48,-20.65,-28.04,,0.7,0.61,0.43,Satellite
广发中证1000B,510013,CNY,股票类,股票型,R5,25.86,9.62,7.55,23.35,22.04,21.19,-20.33,-35.1,-32.14,0.77,,0.53,Satellite
国联安半导体,530003,CNY,股票类,行业主题型,R4,16.48,7.36,17.58,20.48,25.33,16.12,-26.25,-29.96,,0.71,0.57,0.71,Satellite
景顺长城量化精选,520000,CNY,股票类,股票增强型,R4,25.15,,6.45,18.88,24.81,20.68,-29.24,-35.36,,0.87,0.52,0.65,Satellite
富国量化多因子,540000,CNY,股票类,量化多因子,R3,6.46,7.77,12.68,22.17,17.83,22.26,-32.88,-30.5,-43.69,0.54,,0.63,Satellite
嘉实增强收益,100004,CNY,固收+,固收增强型,R2,5.33,9.43,6.64,7.25,9.07,8.06,-10.08,-8.15,,0.73,1.06,0.97,Satellite
易方达稳健收益D,100015,CNY,固收+,固收增强型,R2,7.68,10.89,7.29,10.06,5.77,7.83,-6.33,-12.19,-10.44,0.87,1.2,1.2,Satellite
工银双利C,100012,CNY,固收+,固收增强型,R3,8.26,7.85,7.93,8.36,6.0,7.98,-7.17,-10.4,-10.37,1.21,,0.95,Satellite
