product_name,product_code,currency,asset_class,sub_category,risk_level,metric_return,metric_volatility,metric_drawdown,metric_sharpe,z_return,z_sharpe,z_vol,z_dd,score,family,strategy_size_before,strategy_size_after,pool_type
嘉实增强收益,100004,CNY,固收+,固收增强型,R2,9.43,7.25,8.15,1.06,1.158383,0.754872,-0.334745,-1.444545,0.944973,B,18,13,Core
易方达稳健收益D,100015,CNY,固收+,固收增强型,R2,10.89,10.06,12.19,1.2,1.956556,1.550803,1.044034,-0.127502,0.886903,B,18,13,Core
工银双利C,100012,CNY,固收+,固收增强型,R3,7.85,8.36,10.4,1.21,0.294607,1.607655,0.209897,-0.711044,0.84826,B,18,13,Core
博时信用债,110002,CNY,固收+,偏债混合型,R3,7.65,5.24,14.44,1.16,0.03843,1.371463,-2.124027,0.198451,0.825263,B,15,8,Core
博时信用债D,110014,CNY,固收+,偏债混合型,R3,10.8,8.12,9.14,0.86,1.674321,-0.386823,-0.097122,-2.309792,0.772152,B,15,8,Satellite
南方安心优选B,110005,CNY,固收+,偏债混合型,R3,8.09,9.49,13.65,1.23,0.266936,1.78173,0.867065,-0.175419,0.679874,B,15,8,Satellite
易方达安心债券,130000,CNY,固收+,二级债基,R3,5.71,5.71,11.27,1.23,-1.025233,1.704917,-0.915635,-0.187161,0.661056,B,12,6,Satellite
招商安泰债券,130001,CNY,固收+,二级债基,R3,9.93,5.54,7.34,0.92,1.478036,-0.112358,-0.989935,-1.023006,0.654906,B,12,6,Satellite
华夏回报B,100008,CNY,固收+,固收增强型,R2,6.04,4.59,11.54,1.13,-0.694908,1.152837,-1.639925,-0.339403,0.652993,B,18,13,Satellite
工银双利D,100017,CNY,固收+,固收增强型,R2,8.47,6.0,9.97,0.98,0.633557,0.300054,-0.948081,-0.851224,0.601751,B,18,13,Satellite
南方安心优选C,110009,CNY,固收+,偏债混合型,R2,7.91,7.52,12.81,1.03,0.173456,0.609539,-0.519394,-0.572952,0.499654,B,15,8,Satellite
兴全可转债,120000,CNY,固收+,可转债型,R4,12.0,6.62,14.31,1.04,1.619507,0.314892,-1.244717,0.673846,0.468104,B,10,6,Satellite
长信可转债,120002,CNY,固收+,可转债型,R4,7.03,5.55,6.19,0.94,-1.0519,-0.247415,-1.801975,-1.797532,0.410333,B,10,6,Satellite
华夏回报,100003,CNY,固收+,固收增强型,R2,5.18,5.78,9.79,1.04,-1.165065,0.641167,-1.056029,-0.909904,0.409334,B,18,13,Satellite
富国可转债C,120009,CNY,固收+,可转债型,R3,8.99,8.73,12.72,1.14,0.001613,0.877199,-0.145825,0.189919,0.325596,B,10,6,Satellite
招商产业债,100001,CNY,固收+,固收增强型,R3,10.25,5.79,12.59,0.85,1.606672,-0.439026,-1.051122,0.002898,0.302668,B,18,13,Satellite
富国可转债B,120005,CNY,固收+,可转债型,R4,7.91,8.15,14.35,1.21,-0.578895,1.270813,-0.44789,0.686021,0.288225,B,10,6,Satellite
兴全可转债B,120004,CNY,固收+,可转债型,R3,9.09,9.54,13.86,1.15,0.055363,0.933429,0.276025,0.536886,0.208819,B,10,6,Satellite
工银双利B,100007,CNY,固收+,固收增强型,R3,7.89,4.58,13.19,0.86,0.316475,-0.382173,-1.644831,0.198498,0.107526,B,18,13,Satellite
易方达稳健收益B,100005,CNY,固收+,固收增强型,R3,8.65,9.85,15.14,1.06,0.731962,0.754872,0.940994,0.8342,0.098642,B,18,13,Satellite
广发稳健增长B,110004,CNY,固收+,偏债混合型,R3,10.34,9.3,15.56,0.96,1.435429,0.199272,0.733345,0.728495,0.074669,B,15,8,Satellite
华夏回报C,100013,CNY,固收+,固收增强型,R3,4.68,8.42,8.55,0.95,-1.438412,0.129497,0.239337,-1.314145,0.056752,B,18,13,Satellite
南方安心优选,110001,CNY,固收+,偏债混合型,R3,6.9,8.41,14.8,1.01,-0.351067,0.49232,0.106976,0.368822,0.018463,B,15,8,Satellite
易方达安心债券C,130008,CNY,固收+,二级债基,R3,6.65,6.33,11.34,0.92,-0.467633,-0.112358,-0.644659,-0.172273,0.001297,B,12,6,Satellite
广发稳健增长,110000,CNY,固收+,偏债混合型,R3,8.58,6.72,14.89,0.85,0.521408,-0.445432,-1.082423,0.411415,-0.014382,B,15,8,Satellite
南方宝元债券B,130006,CNY,固收+,二级债基,R2,4.81,7.96,12.03,1.05,-1.559106,0.649725,0.067744,-0.025522,-0.055712,B,12,6,Satellite
博时稳定价值B,130007,CNY,固收+,二级债基,R3,8.08,6.67,15.1,0.9,0.380631,-0.229602,-0.49606,0.627415,-0.098159,B,12,6,Satellite
招商产业债B,100006,CNY,固收+,固收增强型,R3,4.0,8.42,12.64,0.98,-1.810163,0.300054,0.239337,0.019198,-0.282711,B,18,13,Satellite
嘉实增强收益C,100014,CNY,固收+,固收增强型,R3,6.97,8.19,11.67,0.79,-0.186483,-0.780139,0.126484,-0.297023,-0.294069,B,18,13,Satellite
中银稳健增利C,110011,CNY,固收+,偏债混合型,R2,5.14,6.98,14.95,0.87,-1.265089,-0.328213,-0.899439,0.43981,-0.35934,B,15,8,Satellite
易方达稳健收益C,100010,CNY,固收+,固收增强型,R2,6.1,8.99,14.66,0.93,-0.662107,0.015792,0.519019,0.677719,-0.373387,B,18,13,Satellite
兴全可转债C,120008,CNY,固收+,可转债型,R4,6.79,10.22,14.84,0.99,-1.180902,0.033738,0.63017,0.835155,-0.525999,B,10,6,Satellite
博时稳定价值C,130011,CNY,固收+,二级债基,R2,7.5,9.67,17.04,0.83,0.03658,-0.639955,0.815112,1.040021,-0.630938,B,12,6,Satellite
