product_name,product_code,currency,asset_class,sub_category,risk_level,return_1y,return_3y,return_5y,volatility_1y,volatility_3y,volatility_5y,max_drawdown_1y,max_drawdown_2y,max_drawdown_3y,sharpe_ratio_1y,sharpe_ratio_3y,sharpe_ratio_5y,pool_type
博时信用债,110002,CNY,固收+,偏债混合型,R3,15.0,7.65,5.8,5.24,6.9,7.46,-3.62,-14.44,-14.44,1.0,1.16,,Core
博时信用债D,110014,CNY,固收+,偏债混合型,R3,10.72,10.8,8.39,8.12,7.03,8.37,-7.82,-9.14,-12.48,1.26,0.86,1.09,Core
南方安心优选B,110005,CNY,固收+,偏债混合型,R3,9.57,8.09,4.96,9.49,,8.31,-3.0,-13.65,-14.46,1.06,1.23,0.86,Core
易方达安心债券,130000,CNY,固收+,二级债基,R3,10.92,5.71,9.45,5.71,8.45,6.56,-9.19,-11.27,-13.97,1.11,1.23,0.95,Core
招商安泰债券,130001,CNY,固收+,二级债基,R3,8.27,9.93,8.78,5.54,8.9,8.38,-9.89,-7.34,-16.21,1.03,0.92,0.88,Satellite
华夏回报B,100008,CNY,固收+,固收增强型,R2,9.59,6.04,7.61,4.59,9.54,,-7.58,-11.54,-10.83,1.42,1.13,0.58,Satellite
工银双利D,100017,CNY,固收+,固收增强型,R2,8.9,8.47,9.33,6.0,9.48,7.23,-9.15,-9.97,-20.83,1.1,0.98,,Satellite
南方安心优选C,110009,CNY,固收+,偏债混合型,R2,6.92,7.91,7.37,7.52,8.53,5.94,-4.67,-12.81,-10.19,1.09,1.03,0.97,Satellite
兴全可转债,120000,CNY,固收+,可转债型,R4,9.59,12.0,,6.62,10.6,7.75,-10.95,-14.31,-17.02,1.11,1.04,0.78,Satellite
长信可转债,120002,CNY,固收+,可转债型,R4,10.94,7.03,9.36,5.55,5.8,7.78,-5.86,-6.19,-17.68,1.27,0.94,0.85,Satellite
华夏回报,100003,CNY,固收+,固收增强型,R2,7.89,5.18,5.83,5.78,10.63,8.67,-5.19,-9.79,-20.86,0.87,1.04,,Satellite
富国可转债C,120009,CNY,固收+,可转债型,R3,11.61,8.99,7.23,8.73,11.0,,,-12.72,-14.54,1.26,1.14,1.07,Satellite
招商产业债,100001,CNY,固收+,固收增强型,R3,14.55,10.25,6.6,5.79,11.0,7.57,-8.96,-12.59,-14.56,0.96,0.85,0.79,Satellite
富国可转债B,120005,CNY,固收+,可转债型,R4,10.04,7.91,7.72,8.15,6.08,,-6.01,-14.35,-22.89,0.89,1.21,1.01,Satellite
兴全可转债B,120004,CNY,固收+,可转债型,R3,12.52,9.09,6.44,9.54,5.0,8.94,-14.22,-13.86,-20.82,0.68,1.15,0.8,Satellite
工银双利B,100007,CNY,固收+,固收增强型,R3,7.91,7.89,7.46,4.58,5.98,8.43,-8.49,-13.19,-15.41,1.09,0.86,0.75,Satellite
