product_name,product_code,currency,asset_class,sub_category,risk_level,metric_return,metric_volatility,metric_drawdown,metric_sharpe,z_return,z_sharpe,z_vol,z_dd,score,family,strategy_size_before,strategy_size_after,pool_type
天弘余额宝C,10,CNY,现金类,货币基金,R1,3.84,0.19,0.72,2.34,2.199047,0.545768,-1.389133,-1.200978,1.034164,C,20,13,Core
零钱通B,5,CNY,现金类,现金类-其他,R1,3.15,0.44,0.0,2.44,0.868725,0.733665,-1.367602,-1.334294,1.02245,C,8,5,Core
招财宝B,7,CNY,现金类,现金类-其他,R1,3.51,0.39,0.0,2.26,1.640925,0.177624,-1.548742,-1.334294,0.876623,C,8,5,Core
广发安泽短债D,10013,CNY,现金类,短债型,R1,2.43,0.61,1.8,2.8,-1.11693,1.744269,-0.962255,0.294515,0.729212,C,15,8,Core
零钱通,1,CNY,现金类,现金类-其他,R1,3.06,0.93,0.52,2.49,0.675675,0.888121,0.407564,-0.816508,0.65104,C,8,5,Satellite
南方现金增利,2,CNY,现金类,货币基金,R1,2.47,0.08,1.21,2.39,-0.815154,0.701702,-1.616352,-0.531491,0.63615,C,20,13,Satellite
博时稳定纯债B,20009,CNY,现金类,纯债型,R2,2.54,0.08,1.6,2.56,-0.609069,0.879878,-2.393487,0.250518,0.618906,C,18,10,Satellite
华安日日鑫D,18,CNY,现金类,货币基金,R1,2.23,0.57,1.2,2.52,-1.34319,1.10713,-0.604196,-0.545154,0.618065,C,20,13,Satellite
招商安瑞进取C,20010,CNY,现金类,纯债型,R2,2.94,0.88,1.41,2.69,0.363281,1.210893,-0.140793,-0.040901,0.614619,C,18,10,Satellite
天弘余额宝D,15,CNY,现金类,货币基金,R1,4.0,0.89,0.85,2.2,2.551071,0.109154,0.056805,-1.023359,0.602713,C,20,13,Satellite
南方短债C,10011,CNY,现金类,短债型,R2,2.76,0.22,0.0,1.95,-0.497803,-0.455477,-1.779264,-1.920498,0.588294,C,15,8,Satellite
易方达短债D,10014,CNY,现金类,短债型,R1,3.68,1.23,0.76,2.3,1.228248,0.450301,0.33658,-0.98527,0.570554,C,15,8,Satellite
易方达易理财C,11,CNY,现金类,货币基金,R1,2.57,1.15,2.07,2.8,-0.59514,1.980359,0.593867,0.643527,0.549509,C,20,13,Satellite
工银纯债B,20006,CNY,现金类,纯债型,R1,3.18,0.87,0.69,2.23,0.94669,0.039609,-0.168952,-1.145223,0.481403,C,18,10,Satellite
工银纯债,20001,CNY,现金类,纯债型,R2,2.89,0.75,1.78,2.67,0.241737,1.159967,-0.506856,0.526598,0.464208,C,18,10,Satellite
华夏纯债,20003,CNY,现金类,纯债型,R1,3.01,0.87,0.85,2.3,0.533442,0.217848,-0.168952,-0.899818,0.446664,C,18,10,Satellite
博时稳定纯债,20004,CNY,现金类,纯债型,R1,2.53,1.09,0.67,2.34,-0.633378,0.319698,0.450539,-1.175899,0.365715,C,18,10,Satellite
余额宝B,4,CNY,现金类,现金类-其他,R1,2.84,0.81,1.72,2.51,0.203775,0.949903,-0.027171,0.378382,0.338395,C,8,5,Satellite
天弘余额宝,0,CNY,现金类,货币基金,R1,2.94,0.54,2.18,2.48,0.218915,0.982383,-0.666164,0.79382,0.325742,C,20,13,Satellite
广发安泽短债B,10005,CNY,现金类,短债型,R2,3.81,0.77,1.27,2.06,1.472147,-0.170804,-0.627072,-0.357683,0.271719,C,15,8,Satellite
嘉实超短债C,10008,CNY,现金类,短债型,R2,3.42,0.63,2.26,2.34,0.740451,0.553818,-0.920357,0.860573,0.203145,C,15,8,Satellite
嘉实超短债D,10012,CNY,现金类,短债型,R2,2.96,1.46,0.69,2.12,-0.122575,-0.015528,0.818406,-1.07141,0.179417,C,15,8,Satellite
博时现金收益,4,CNY,现金类,货币基金,R1,2.92,1.0,0.89,2.1,0.174912,-0.202714,0.284024,-0.968707,0.174278,C,20,13,Satellite
南方现金增利C,12,CNY,现金类,货币基金,R1,2.7,0.33,2.29,2.35,-0.309121,0.576955,-1.099946,0.944113,0.110476,C,20,13,Satellite
天弘余额宝B,5,CNY,现金类,货币基金,R1,2.31,0.7,1.1,2.12,-1.167178,-0.14034,-0.335664,-0.681784,0.075014,C,20,13,Satellite
招商安瑞进取D,20015,CNY,现金类,纯债型,R2,2.5,0.51,1.67,2.25,-0.706304,0.090534,-1.182664,0.357882,0.040145,C,18,10,Satellite
招商安瑞进取B,20005,CNY,现金类,纯债型,R1,2.36,0.94,1.57,2.35,-1.046626,0.345161,0.028159,0.204504,-0.014915,C,18,10,Satellite
招财宝,3,CNY,现金类,现金类-其他,R1,2.22,0.99,1.86,2.45,-1.126125,0.764556,0.624931,0.517786,-0.017638,C,8,5,Satellite
工银纯债D,20016,CNY,现金类,纯债型,R2,3.68,0.76,1.33,1.89,2.162128,-0.826123,-0.478697,-0.163603,-0.034657,C,18,10,Satellite
易方达短债C,10010,CNY,现金类,短债型,R2,2.91,0.64,2.1,2.14,-0.216382,0.036231,-0.899408,0.663683,-0.069528,C,15,8,Satellite
