product_name,product_code,currency,asset_class,sub_category,risk_level,return_1y,return_3y,return_5y,volatility_1y,volatility_3y,volatility_5y,max_drawdown_1y,max_drawdown_2y,max_drawdown_3y,sharpe_ratio_1y,sharpe_ratio_3y,sharpe_ratio_5y,pool_type
零钱通,1,CNY,现金类,现金类-其他,R1,2.81,3.06,3.02,0.93,1.26,1.05,-1.87,-0.52,-3.66,2.64,2.49,1.57,Core
南方现金增利,2,CNY,现金类,货币基金,R1,3.72,2.47,2.3,0.08,1.13,0.34,-2.0,-1.21,0.0,2.25,2.39,,Core
博时稳定纯债B,20009,CNY,现金类,纯债型,R2,3.51,2.54,,0.08,1.13,,-0.31,-1.6,-1.05,2.85,2.56,2.39,Core
华安日日鑫D,18,CNY,现金类,货币基金,R1,2.9,2.23,2.81,0.57,0.64,0.97,-0.17,-1.2,-3.2,2.42,2.52,1.72,Core
招商安瑞进取C,20010,CNY,现金类,纯债型,R2,3.56,2.94,2.18,0.88,0.52,1.5,-1.09,-1.41,-1.45,2.27,2.69,1.71,Satellite
天弘余额宝D,15,CNY,现金类,货币基金,R1,1.53,4.0,2.4,0.89,0.78,0.87,-0.59,-0.85,-2.58,2.19,2.2,1.83,Satellite
南方短债C,10011,CNY,现金类,短债型,R2,3.24,2.76,2.77,0.22,1.3,0.72,-1.09,0.0,-1.7,1.97,1.95,,Satellite
易方达短债D,10014,CNY,现金类,短债型,R1,3.02,3.68,2.86,1.23,0.42,0.91,-1.09,-0.76,-0.81,3.0,2.3,2.0,Satellite
易方达易理财C,11,CNY,现金类,货币基金,R1,4.5,2.57,3.23,1.15,1.49,1.34,-0.98,-2.07,-1.54,2.0,2.8,,Satellite
工银纯债B,20006,CNY,现金类,纯债型,R1,,3.18,,0.87,1.23,0.98,-1.47,-0.69,-2.54,2.55,2.23,2.45,Satellite
工银纯债,20001,CNY,现金类,纯债型,R2,3.97,2.89,2.45,0.75,1.28,0.96,-1.12,-1.78,-2.39,1.9,2.67,,Satellite
华夏纯债,20003,CNY,现金类,纯债型,R1,2.65,3.01,3.03,0.87,,0.97,-1.24,-0.85,-3.35,2.3,,2.48,Satellite
博时稳定纯债,20004,CNY,现金类,纯债型,R1,2.25,2.53,3.13,1.09,1.06,0.93,-0.68,-0.67,-1.59,2.16,2.34,2.47,Satellite
天弘余额宝,0,CNY,现金类,货币基金,R1,3.42,2.94,3.14,0.54,0.98,0.22,-1.06,-2.18,-2.74,2.71,2.48,2.08,Satellite
广发安泽短债B,10005,CNY,现金类,短债型,R2,4.33,3.81,,0.77,0.63,0.93,-1.5,-1.27,-1.23,2.71,2.06,1.84,Satellite
嘉实超短债C,10008,CNY,现金类,短债型,R2,1.79,,3.42,0.63,0.54,0.83,-0.43,-2.26,-1.94,2.41,2.34,1.95,Satellite
嘉实超短债D,10012,CNY,现金类,短债型,R2,3.86,2.96,2.25,1.46,0.6,,-0.06,-0.69,-2.45,2.73,2.12,2.16,Satellite
