product_name,product_code,currency,asset_class,sub_category,risk_level,metric_return,metric_volatility,metric_drawdown,metric_sharpe,z_return,z_sharpe,z_vol,z_dd,score,family,strategy_size_before,strategy_size_after,pool_type
易方达黄金ETFB,510007,CNY,另类,商品型,R4,8.21,6.0,18.67,1.14,-0.116363,1.750828,-1.978152,0.014493,0.976431,D,8,6,Core
国泰黄金ETF,510001,CNY,另类,商品型,R5,12.79,10.71,8.0,0.74,1.272416,-0.463658,-0.574446,-1.752844,0.621282,D,8,6,Core
淡水泉多策略,900002,CNY,另类,多策略对冲,R3,4.91,10.68,22.53,1.25,-1.161145,1.755648,0.077936,0.276269,0.25335,D,6,3,Satellite
幻方CTA,880003,CNY,另类,CTA策略,R4,11.62,13.68,19.57,0.65,0.29509,-0.109411,-0.286557,-0.693841,0.231558,D,7,4,Satellite
景林对冲精选,900001,CNY,另类,多策略对冲,R3,8.46,6.0,21.36,0.83,-0.132771,-0.006995,-1.264668,0.008395,0.215614,D,6,3,Satellite
华安黄金ETF,510000,CNY,另类,商品型,R3,8.19,11.63,21.03,0.95,-0.122428,0.698947,-0.300262,0.405394,0.192998,D,8,6,Satellite
博时黄金,510002,CNY,另类,商品型,R5,10.94,13.31,20.07,0.85,0.711446,0.145326,0.200423,0.246384,0.139364,D,8,6,Satellite
明汯中性优选,890002,CNY,另类,市场中性,R3,8.94,13.08,15.07,0.75,0.128063,0.300676,0.646947,-0.578791,0.123621,D,6,3,Satellite
九坤CTA优选,880000,CNY,另类,CTA策略,R4,3.0,13.64,21.7,0.83,-1.958799,1.14384,-0.320993,0.317417,-0.088641,D,7,4,Satellite
明汯CTA精选,880001,CNY,另类,CTA策略,R3,12.18,14.37,22.82,0.67,0.441514,0.029839,0.307464,0.849158,-0.110502,D,7,4,Satellite
明汯CTA精选B,880005,CNY,另类,CTA策略,R4,7.65,13.0,22.03,0.66,-0.742954,-0.039786,-0.871969,0.474091,-0.120088,D,7,4,Satellite
华安黄金ETFB,510004,CNY,另类,商品型,R5,4.86,16.02,16.16,0.89,-1.132173,0.366774,1.008075,-0.401253,-0.276037,D,8,6,Satellite
景林对冲精选B,900004,CNY,另类,多策略对冲,R4,9.8,12.77,22.56,0.72,0.255404,-0.468639,0.677518,0.283138,-0.292304,D,6,3,Satellite
九坤对冲精选,890001,CNY,另类,市场中性,R3,7.37,13.14,20.26,0.72,-0.415341,0.042954,0.679339,0.437193,-0.312108,D,6,3,Satellite
易方达黄金ETF,510003,CNY,另类,商品型,R3,3.0,13.68,13.79,0.82,-1.696175,-0.020761,0.310693,-0.793811,-0.334686,D,8,6,Satellite
九坤对冲精选B,890004,CNY,另类,市场中性,R3,4.2,12.64,18.89,0.64,-1.512533,-0.644305,0.409403,0.169004,-0.719322,D,6,3,Satellite
