product_name,product_code,currency,asset_class,sub_category,risk_level,return_1y,return_3y,return_5y,volatility_1y,volatility_3y,volatility_5y,max_drawdown_1y,max_drawdown_2y,max_drawdown_3y,sharpe_ratio_1y,sharpe_ratio_3y,sharpe_ratio_5y
富国可转债B,120005,CNY,固收+,可转债型,R4,10.04,7.91,7.72,8.15,6.08,,-6.01,-14.35,-22.89,0.89,1.21,1.01
汇添富中证800B,510015,CNY,股票类,股票型,R4,34.23,14.33,,17.61,17.89,18.26,-22.98,-27.44,-31.79,0.91,0.65,0.82
景顺长城量化精选C,520010,CNY,股票类,股票增强型,R5,17.59,17.46,10.39,17.3,21.85,21.17,-25.67,-33.53,-32.14,0.34,0.4,0.53
工银纯债C,020011,CNY,现金类,纯债型,R2,3.15,2.49,2.31,0.69,0.88,0.59,-1.35,-2.55,-2.08,1.69,2.37,1.92
易方达易理财D,000016,CNY,现金类,货币基金,R1,4.21,3.17,,1.37,1.2,1.19,-0.91,-2.47,-1.6,2.01,1.91,2.08
华安日日鑫,000003,CNY,现金类,货币基金,R1,3.06,2.85,3.31,0.85,1.02,,-0.84,-2.0,-1.01,2.18,1.84,2.06
工银双利C,100012,CNY,固收+,固收增强型,R3,8.26,7.85,7.93,8.36,6.0,7.98,-7.17,-10.4,-10.37,1.21,,0.95
零钱通B,000005,CNY,现金类,现金类-其他,R1,2.92,3.15,2.19,0.44,0.36,0.8,-0.13,0.0,-1.36,2.44,,1.36
国泰黄金ETF,510001,CNY,另类,商品型,R5,3.02,12.79,5.46,10.71,10.86,14.59,-25.0,-8.0,-15.9,0.86,0.74,0.76
招商白酒C,530013,CNY,股票类,行业主题型,R4,24.22,12.41,,18.81,18.93,18.12,-22.2,-36.23,-31.84,0.69,0.61,0.5
嘉实增强收益B,100009,CNY,固收+,固收增强型,R2,5.16,6.75,7.04,9.04,6.91,7.73,-11.27,-14.79,-22.18,0.77,0.71,0.72
明汯CTA精选,880001,CNY,另类,CTA策略,R3,13.27,12.18,12.0,14.37,11.1,11.44,-23.85,-22.82,-25.06,0.67,,0.75
余额宝,000000,CNY,现金类,现金类-其他,R1,3.95,2.42,3.34,1.21,,0.51,-0.11,-2.4,-1.08,2.63,1.87,2.32
中银稳健增利,110003,CNY,固收+,偏债混合型,R2,15.0,6.94,6.27,10.09,9.02,9.81,-7.25,-13.85,-12.69,1.28,1.09,0.96
明汯CTA精选B,880005,CNY,另类,CTA策略,R4,10.37,7.65,,13.0,14.15,8.25,-25.0,-22.03,-30.13,,0.66,0.7
华安黄金ETFB,510004,CNY,另类,商品型,R5,6.63,4.86,6.09,16.02,15.12,12.65,-11.37,-16.16,-26.51,0.91,0.89,0.83
华安量化优选C,540009,CNY,股票类,量化多因子,R3,19.06,15.76,16.6,13.38,26.35,20.07,-25.17,-37.59,-47.24,0.91,0.66,0.45
招商安瑞进取B,020005,CNY,现金类,纯债型,R1,2.9,2.36,3.4,0.94,0.0,1.07,-1.27,-1.57,-1.67,2.32,2.35,1.77
中银稳健增利B,110007,CNY,固收+,偏债混合型,R3,4.43,,,6.88,8.57,9.46,-9.2,-14.58,-6.56,0.64,0.6,0.95
招商产业债C,100011,CNY,固收+,固收增强型,R3,6.89,7.93,9.66,6.75,10.72,8.38,-10.69,-10.13,-10.88,1.16,0.68,0.76
南方现金增利C,000012,CNY,现金类,货币基金,R1,3.1,2.7,2.98,0.33,0.46,1.2,-1.33,-2.29,-1.46,2.69,2.35,2.2
华夏沪深300ETFC,510016,CNY,股票类,股票型,R4,18.02,25.0,14.85,17.14,17.25,21.83,-23.9,-24.64,-30.21,0.68,0.5,0.42
工银纯债,020001,CNY,现金类,纯债型,R2,3.97,2.89,2.45,0.75,1.28,0.96,-1.12,-1.78,-2.39,1.9,2.67,
华宝可转债,120003,CNY,固收+,可转债型,R3,11.65,9.3,4.64,10.95,10.07,6.72,-7.81,-10.65,-14.26,0.86,0.83,0.87
华夏回报B,100008,CNY,固收+,固收增强型,R2,9.59,6.04,7.61,4.59,9.54,,-7.58,-11.54,-10.83,1.42,1.13,0.58
华夏回报,100003,CNY,固收+,固收增强型,R2,7.89,5.18,5.83,5.78,10.63,8.67,-5.19,-9.79,-20.86,0.87,1.04,
南方安心优选C,110009,CNY,固收+,偏债混合型,R2,6.92,7.91,7.37,7.52,8.53,5.94,-4.67,-12.81,-10.19,1.09,1.03,0.97
