product_name,code,asset_class,sub_category,underlying_or_strategy,scale_billion,daily_volume_billion,expense_ratio,expected_annual_return,volatility_1y_std,sharpe_ratio_1y,max_drawdown_3y,risk_level,remarks
"货币增强A",CASH001,现金,货币基金,超短债+回购策略,850,NA,0.0008,0.017,0.005,3.0,-0.005,R1,"保本型"
"结构性存款1号",CASH002,现金,结构性存款,利率区间保本结构,200,NA,0.0005,0.020,0.005,3.0,-0.005,R1,"保本"
"智能现金管理Z",CASH003,现金,现金管理,银行同业+回购,500,NA,0.0010,0.018,0.005,3.0,-0.005,R1,"保本"
"增利保本理财A",CASH004,现金,保本理财,短久期债+现金,300,NA,0.0009,0.019,0.005,3.0,-0.005,R1,"保本型"
"稳健保本N",CASH005,现金,保本理财,T+1现金工具,120,NA,0.0011,0.016,0.005,3.0,-0.005,R1,"保本"
"平安现金宝",CASH006,现金,货基,公开市场工具,780,NA,0.0010,0.017,0.005,3.0,-0.005,R1,"保本"
"天天现金通",CASH007,现金,货基,短融+回购,900,NA,0.0012,0.018,0.005,3.0,-0.005,R1,"保本"

"大额存单1Y",FI001,固收,存款类固收,商业银行一年期大额存单,1000,NA,0.0002,0.028,0.008,2.5,-0.01,R1,"保本"
"结构性存款-挂钩汇率",FI002,固收,存款类固收,人民币兑美元区间,300,NA,0.0003,0.030,0.008,2.5,-0.01,R1,"保本"
"税优存款理财",FI003,固收,存款类固收,利率浮动存款,220,NA,0.0005,0.026,0.008,2.5,-0.01,R1,"保本"
"稳健利率保本A",FI004,固收,存款固收,同业+逆回购组合,400,NA,0.0010,0.027,0.008,2.5,-0.01,R1,"保本"
"智能利率宝B",FI005,固收,存款固收,利率增强结构,260,NA,0.0012,0.029,0.008,2.5,-0.01,R1,"保本"
"中短债保本1号",FI006,固收,纯债,中高评级信用债组合,350,2.1,0.002,0.032,0.010,2.0,-0.015,R2,"保本"
"国开债保本",FI007,固收,纯债,政金债组合,500,3.3,0.0015,0.030,0.010,2.0,-0.015,R2,"保本"

"固收+保本增强A",FI008,固收,固收+,债+股10%对冲策略,380,1.1,0.0020,0.040,0.015,1.5,-0.03,R2,"保本"
"固收+平衡B",FI009,固收,固收+,久期中等+股票保护,450,1.2,0.0022,0.042,0.015,1.5,-0.03,R2,"保本"
"固收+精选C",FI010,固收,固收+,信用债+股票挂钩,380,0.9,0.0025,0.043,0.015,1.5,-0.03,R2,"保本"

"非标固守理财",FI011,固收,非标固守,企业贷+资产支持计划,800,NA,0.0040,0.050,0.012,1.8,-0.02,R2,"保本"
"非标固守增强A",FI012,固收,非标固守,ABS+收益凭证,600,NA,0.0045,0.052,0.012,1.8,-0.02,R2,"保本"

"海外债券保本1号",FI013,固收,海外债券,美元投资级债+本金保护,300,NA,0.0035,0.038,0.018,1.2,-0.035,R2,"保本"
"海外债券稳健保本",FI014,固收,海外债券,高评级公司债组合,260,NA,0.0032,0.037,0.018,1.2,-0.035,R2,"保本"

"稳健混合保本A",EQ001,股票,股债混合,股20%债80%,500,2.0,0.002,0.050,0.020,1.0,-0.05,R2,"保本"
"平衡混合保本B",EQ002,股票,股债混合,股30%债70%,450,1.8,0.0022,0.055,0.020,1.0,-0.05,R2,"保本"
"增强混合保本C",EQ003,股票,股债混合,股40%债60%,420,1.7,0.0023,0.060,0.020,1.0,-0.05,R2,"保本"

"股票挂钩保本1号",EQ004,股票,股票类,沪深300挂钩区间收益,300,5.5,0.003,0.070,0.025,0.8,-0.06,R3,"保本"
"股票挂钩保本2号",EQ005,股票,股票类,中证500挂钩收益,320,6.2,0.0035,0.072,0.025,0.8,-0.06,R3,"保本"
"指数增强保本",EQ006,股票,股票类,宽基指数套利结构,250,4.2,0.0032,0.068,0.025,0.8,-0.06,R3,"保本"

"海外股票保本1号",EQ007,股票,海外股票,标普500挂钩保本,280,3.0,0.003,0.065,0.030,0.7,-0.08,R3,"保本"
"海外股票保本2号",EQ008,股票,海外股票,纳斯达克保本结构,260,2.5,0.0032,0.067,0.030,0.7,-0.08,R3,"保本"

"海外混合保本A",EQ009,股票,海外股债混合,股20%+海外债80%,300,1.6,0.0028,0.055,0.022,0.9,-0.055,R2,"保本"
"海外混合保本B",EQ010,股票,海外股债混合,股30%+海外债70%,290,1.4,0.0030,0.058,0.022,0.9,-0.055,R2,"保本"

"黄金挂钩保本",ALT001,另类,商品类,上海金区间收益结构,220,1.8,0.0035,0.040,0.030,0.7,-0.07,R3,"保本"
"原油期权保本结构",ALT002,另类,商品类,布油价格区间结构,180,1.2,0.0038,0.045,0.030,0.7,-0.07,R3,"保本"

"CTA对冲保本A",ALT003,另类,量化对冲,CTA趋势+保本结构,260,2.0,0.004,0.038,0.018,1.5,-0.03,R2,"保本"
"量化多因子保本B",ALT004,另类,量化对冲,多因子对冲组合+保本,240,1.9,0.0042,0.039,0.018,1.5,-0.03,R2,"保本"

"REITs保本结构A",ALT005,另类,房地产股权,REITs收益锁定结构,200,0.8,0.003,0.050,0.022,0.9,-0.05,R3,"保本"
