asset_class,market,sector,ticker,ref_date,value,unit,data_type
Equity,US,Broad_Market_Index,SPX,2026-01-14,5050,Index_Level,Equity
Equity,US,Broad_Market_Index,IXIC,2026-01-14,23471.75,Index_Level,Equity
Equity,Japan,Broad_Market_Index,NI225,2026-01-13,38400,Index_Level,Equity
Equity,HongKong,Broad_Market_Index,HSI,2026-01-14,25434.23,Index_Level,Equity
Equity,China_A,Broad_Market_Index,000001.SH,2026-01-16,4112.60,Index_Level,Equity
Equity,China_A,Broad_Market_Index,399001.SZ,2026-01-16,9129.63,Index_Level,Equity
Equity,China_A,Growth_Style_Index,399006.SZ,2026-01-16,3302.31,Index_Level,Equity
Commodity,Global,Energy_Commodity,CL1!,2026-01-13,61.15,USD/bbl,Commodity
Commodity,Global,Metal_Commodity,XAU,2026-01-13,4634,USD/oz,Commodity
Bond,US,Government_Bond_Yield,USGG10YR,2026-01-08,4.10,%,Rate
Bond,China_A,Government_Bond_Yield,CGB_10Y,2026-01-14,2.85,%,Rate
FX,Major,Cross_Rate,EURUSD,2026-01-14,1.1636,,FX
FX,Major,Cross_Rate,USDJPY,2026-01-14,148.50,,FX
Volatility,US,Implied_Vol_Index,VIX,2026-01-14,17.8,Index_Level,Risk_Sentiment
Volatility,China,Implied_Vol_Index,CVIX,2026-01-14,19.5,Index_Level,Risk_Sentiment
